subject,available_pairs,n_pairs,mean_mmd,max_mmd,mean_mu_ks,mean_csp_similarity,mean_erd_mu_corr,mean_erd_beta_corr,median_rms_ratio,mean_abs_fisher_shift,drift_score,drift_level
sub-017,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.435844,0.620253,0.506734,0.332172,0.142429,0.508516,1.975399,0.008531,1.188747,high
sub-008,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.502155,0.661810,0.378792,0.298376,0.431284,0.484510,1.421528,0.010266,0.929510,high
sub-019,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.447936,0.639593,0.388253,0.282420,0.400805,0.577599,1.202534,0.014598,0.808727,high
sub-001,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.356433,0.612607,0.337570,0.316556,0.359052,0.216908,1.429193,0.006872,0.747534,high
sub-018,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.396415,0.590875,0.391598,0.276903,0.446537,0.532946,1.371803,0.005849,0.695315,high
sub-025,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.321924,0.553372,0.327311,0.274650,0.407769,0.274511,0.910913,0.005968,0.687064,high
sub-022,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.334015,0.509786,0.254124,0.391238,0.212314,0.109615,1.467777,0.003280,0.500070,high
sub-003,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.443547,0.619387,0.269691,0.289886,0.631158,0.474446,0.677283,0.017798,0.367159,high
sub-023,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.335502,0.577046,0.180536,0.278885,0.376417,0.485145,0.958577,0.020802,0.225493,high
sub-024,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.292045,0.397990,0.179025,0.358772,0.287995,0.181524,0.892257,0.005887,0.204361,moderate
sub-009,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.382404,0.602980,0.403785,0.304607,0.635509,0.721471,1.254840,0.004367,0.162686,moderate
sub-004,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.433818,0.674339,0.328971,0.295911,0.791332,0.711258,0.309851,0.002394,0.011488,moderate
sub-005,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.377733,0.546964,0.201322,0.341053,0.421706,0.615527,1.577990,0.005345,-0.053812,moderate
sub-016,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.338206,0.573782,0.277679,0.312005,0.668853,0.595911,1.207070,0.014571,-0.149806,moderate
sub-014,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.321141,0.553397,0.383054,0.351781,0.646836,0.665640,0.816460,0.002354,-0.183875,moderate
sub-011,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.461207,0.633686,0.321682,0.464584,0.619066,0.571147,1.092313,0.002674,-0.259563,moderate
sub-021,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.397053,0.583846,0.122483,0.371426,0.621033,0.394699,0.712793,0.007330,-0.286207,moderate
sub-013,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.358770,0.528096,0.242589,0.389996,0.515847,0.600069,0.762573,0.007042,-0.305896,stable
sub-007,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.383974,0.595530,0.199932,0.382023,0.616325,0.632329,1.268433,0.007334,-0.443456,stable
sub-012,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.246659,0.338208,0.178153,0.386452,0.494776,0.384357,1.917125,0.011182,-0.472583,stable
sub-015,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.184612,0.235563,0.220911,0.321037,0.664195,0.413415,0.985963,0.014351,-0.512950,stable
sub-010,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.265831,0.462653,0.332201,0.402224,0.583758,0.793732,0.878937,0.007508,-0.693074,stable
sub-020,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.361924,0.447560,0.220332,0.404643,0.803589,0.872966,0.624229,0.011046,-1.011904,stable
sub-006,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.238408,0.307815,0.092320,0.409624,0.553787,0.614423,1.220147,0.011245,-1.065957,stable
sub-002,"01-02,01-03,01-04,01-05,02-03,02-04,02-05,03-04,03-05,04-05",10,0.271975,0.481508,0.219730,0.357527,0.836189,0.862173,1.167471,0.008548,-1.089072,stable
