subject,ses_i,ses_j,mmd,coral,mu_power_shift,beta_power_shift,mu_ks_stat,erd_mu_corr,erd_beta_corr,csp_similarity,rms_ratio_median,rms_ratio_std,fisher_i,fisher_j,fisher_shift,high_amp_ratio_i,high_amp_ratio_j,mean_rms_i,mean_rms_j
sub-001,ses-01,ses-02,0.459986,0.000000,0.357298,0.295925,0.303750,0.257766,0.100016,0.466169,1.845142,1.859675,0.013542,0.002120,-0.011421,0.000000,0.160000,1.380442,4.607611
sub-001,ses-01,ses-03,0.576425,0.000000,0.610950,0.630082,0.501203,0.288399,0.443551,0.356968,1.986202,13.852730,0.013542,0.001583,-0.011959,0.000000,0.303030,1.380442,8.052786
sub-001,ses-01,ses-04,0.571036,0.000000,0.508901,0.565897,0.292039,0.117228,-0.277637,0.324256,1.382775,13.613152,0.013542,0.012563,-0.000979,0.000000,0.333333,1.380442,9.241900
sub-001,ses-01,ses-05,0.612607,0.000000,0.987627,0.867820,0.627234,0.159972,0.365142,0.341842,2.583463,17.539144,0.013542,0.008335,-0.005207,0.000000,0.531915,1.380442,15.029150
sub-001,ses-02,ses-03,0.207344,0.000000,0.253651,0.334158,0.204182,0.488151,0.606451,0.357169,1.154211,9.027791,0.002120,0.001583,-0.000538,0.160000,0.303030,4.607611,8.052786
sub-001,ses-02,ses-04,0.240159,0.000000,0.151602,0.269973,0.145063,0.440172,0.199957,0.333511,0.660481,8.076127,0.002120,0.012563,0.010443,0.160000,0.333333,4.607611,9.241900
sub-001,ses-02,ses-05,0.357754,0.000000,0.630328,0.571895,0.421416,0.415101,0.286968,0.272745,1.475611,9.952983,0.002120,0.008335,0.006214,0.160000,0.531915,4.607611,15.029150
sub-001,ses-03,ses-04,0.131401,0.000000,-0.102049,-0.064185,0.279672,0.441734,0.273631,0.188172,0.675423,6.647199,0.001583,0.012563,0.010980,0.303030,0.333333,8.052786,9.241900
sub-001,ses-03,ses-05,0.230786,0.000000,0.376677,0.237737,0.235621,0.629150,0.300140,0.182168,1.279039,8.172232,0.001583,0.008335,0.006752,0.303030,0.531915,8.052786,15.029150
sub-001,ses-04,ses-05,0.176827,0.000000,0.478726,0.301923,0.365524,0.352850,-0.129140,0.342564,1.933174,15.543145,0.012563,0.008335,-0.004229,0.333333,0.531915,9.241900,15.029150
sub-002,ses-01,ses-02,0.190740,0.000000,0.592679,0.541017,0.361120,0.906017,0.910541,0.435374,3.447337,425.652375,0.018756,0.021399,0.002643,0.500000,0.631579,49.488123,104.056767
sub-002,ses-01,ses-03,0.174452,0.000000,0.214682,0.252333,0.161780,0.805634,0.863475,0.440206,1.411922,5.868456,0.018756,0.005506,-0.013250,0.500000,0.580000,49.488123,9.469560
sub-002,ses-01,ses-04,0.273996,0.000000,0.225306,0.252307,0.187799,0.828205,0.905000,0.262307,0.965367,4.014020,0.018756,0.007803,-0.010952,0.500000,0.350000,49.488123,6.771016
sub-002,ses-01,ses-05,0.279433,0.000000,0.694909,0.528455,0.417699,0.865826,0.826698,0.315443,2.040966,14.969861,0.018756,0.010482,-0.008274,0.500000,0.936842,49.488123,21.570264
sub-002,ses-02,ses-03,0.162798,0.000000,-0.377997,-0.288684,0.240773,0.792989,0.838637,0.222701,0.368767,2.621939,0.021399,0.005506,-0.015893,0.631579,0.580000,104.056767,9.469560
sub-002,ses-02,ses-04,0.304432,0.000000,-0.367373,-0.288710,0.189260,0.853813,0.866191,0.280821,0.219381,2.580149,0.021399,0.007803,-0.013596,0.631579,0.350000,104.056767,6.771016
sub-002,ses-02,ses-05,0.273495,0.000000,0.102230,-0.012563,0.064803,0.909786,0.908749,0.256356,0.392743,6.800947,0.021399,0.010482,-0.010917,0.631579,0.936842,104.056767,21.570264
sub-002,ses-03,ses-04,0.241358,0.000000,0.010624,-0.000026,0.060000,0.783575,0.841645,0.405189,1.014770,0.686089,0.005506,0.007803,0.002297,0.580000,0.350000,9.469560,6.771016
sub-002,ses-03,ses-05,0.337539,0.000000,0.480228,0.276121,0.277056,0.717365,0.801437,0.536051,1.320173,4.596520,0.005506,0.010482,0.004976,0.580000,0.936842,9.469560,21.570264
sub-002,ses-04,ses-05,0.481508,0.000000,0.469604,0.276148,0.237007,0.898683,0.859360,0.420823,1.466787,5.723791,0.007803,0.010482,0.002679,0.350000,0.936842,6.771016,21.570264
sub-003,ses-01,ses-02,0.242091,0.000000,-0.642107,-0.592550,0.422242,0.761183,0.279904,0.249931,0.357695,3.117556,0.037583,0.006490,-0.031093,0.467391,0.500000,13.355127,8.066162
sub-003,ses-01,ses-03,0.352948,0.000000,0.100570,0.174441,0.133152,0.228733,0.631236,0.368903,0.801999,51.154639,0.037583,0.010116,-0.027467,0.467391,0.978261,13.355127,80.214075
sub-003,ses-01,ses-04,0.502201,0.000000,-0.314287,-0.256865,0.184728,0.677466,0.137057,0.255475,0.584100,0.614158,0.037583,0.028054,-0.009528,0.467391,0.010000,13.355127,3.759448
sub-003,ses-01,ses-05,0.584834,0.000000,-0.549882,-0.544183,0.388125,0.752013,0.155988,0.338552,0.436769,0.428995,0.037583,0.003870,-0.033713,0.467391,0.000000,13.355127,2.634124
sub-003,ses-02,ses-03,0.483446,0.000000,0.742677,0.766991,0.402351,0.356040,0.443322,0.240198,2.754390,195.429719,0.006490,0.010116,0.003626,0.500000,0.978261,8.066162,80.214075
