pair,n,mmd_mean,mmd_median,mu_ks_mean,mu_power_shift_mean,beta_power_shift_mean,csp_similarity_mean,erd_mu_corr_mean,erd_beta_corr_mean,rms_ratio_median,fisher_shift_mean
01-02,25,0.347789,0.279154,0.271689,0.045159,0.008600,0.358806,0.515328,0.535468,1.171940,-0.000815
01-03,25,0.356432,0.340083,0.292869,0.139708,0.095166,0.371863,0.545065,0.563270,1.344764,-0.000653
01-04,25,0.412744,0.444531,0.334315,0.004242,-0.050445,0.339935,0.510555,0.505593,0.965367,-0.000077
01-05,25,0.368654,0.354265,0.322095,0.113439,0.018481,0.326046,0.488758,0.521865,1.511162,-0.003341
02-03,25,0.283976,0.230749,0.220138,0.094550,0.086566,0.355002,0.559877,0.577549,1.170371,0.000162
02-04,25,0.340674,0.325515,0.273829,-0.040917,-0.059045,0.360469,0.544720,0.542171,1.034631,0.000738
02-05,25,0.383780,0.378551,0.246364,0.068280,0.009881,0.335214,0.463457,0.490734,1.006496,-0.002526
03-04,25,0.355915,0.318355,0.250812,-0.135466,-0.145611,0.339618,0.567944,0.503106,0.714846,0.000575
03-05,25,0.350871,0.337539,0.301695,-0.026269,-0.076685,0.319935,0.510999,0.495212,0.790667,-0.002688
04-05,25,0.354978,0.310121,0.269705,0.109197,0.068926,0.331013,0.560722,0.582967,0.949211,-0.003264
