subject,ses_i,ses_j,mmd,coral,mu_power_shift,beta_power_shift,mu_ks_stat,erd_mu_corr,erd_beta_corr,csp_similarity,rms_ratio_median,rms_ratio_std,fisher_i,fisher_j,fisher_shift,high_amp_ratio_i,high_amp_ratio_j,mean_rms_i,mean_rms_j
sub-001,ses-01,ses-02,0.219964,0.000005,0.160505,-0.018746,0.230776,0.307904,0.294248,0.446156,0.930596,0.220442,0.005202,0.022672,0.017470,0.465000,0.195000,8.794270,6.711881
sub-001,ses-01,ses-03,0.217257,0.000004,0.191866,-0.027517,0.258448,0.312640,0.496304,0.478577,0.832558,0.610436,0.005202,0.012732,0.007530,0.465000,0.155000,8.794270,6.381334
sub-001,ses-02,ses-03,0.131917,0.000003,0.031361,-0.008770,0.068879,0.783354,0.670463,0.497515,0.926918,0.419589,0.022672,0.012732,-0.009940,0.195000,0.155000,6.711881,6.381334
sub-002,ses-01,ses-02,0.103053,0.000040,0.102750,0.123832,0.077500,0.345987,0.747322,0.438472,1.416521,0.420491,0.004944,0.001278,-0.003666,0.780000,0.620000,18.186360,17.344441
sub-002,ses-01,ses-03,0.218469,0.000050,-0.366210,-0.117359,0.327759,0.602641,0.449180,0.431364,0.739435,0.139362,0.004944,0.003251,-0.001693,0.780000,0.540000,18.186360,12.445879
sub-002,ses-02,ses-03,0.158853,0.000061,-0.468960,-0.241191,0.384741,0.274171,0.285995,0.456575,0.527162,0.147986,0.001278,0.003251,0.001973,0.620000,0.540000,17.344441,12.445879
sub-003,ses-01,ses-02,0.461812,0.000073,-0.431405,-0.253038,0.489138,0.875805,0.841779,0.447508,0.605466,0.193086,0.007323,0.011353,0.004030,0.905000,0.075000,16.658090,6.019151
sub-003,ses-01,ses-03,0.140471,0.161347,-0.123022,-0.092856,0.151121,0.887927,0.841870,0.418667,1.043152,80.953494,0.007323,0.004704,-0.002619,0.905000,0.930000,16.658090,65.703468
sub-003,ses-02,ses-03,0.506533,0.161347,0.308383,0.160182,0.340431,0.773321,0.799685,0.407150,1.608578,127.463145,0.011353,0.004704,-0.006649,0.075000,0.930000,6.019151,65.703468
sub-004,ses-01,ses-02,0.118451,0.000057,-0.297272,-0.166258,0.414310,0.258699,0.260422,0.443948,0.832827,0.565510,0.025457,0.004089,-0.021368,0.355000,0.515000,11.115974,13.773640
sub-004,ses-01,ses-03,0.183034,0.000029,0.084196,0.083933,0.152931,-0.264102,0.229845,0.434897,0.973262,0.239451,0.025457,0.002994,-0.022463,0.355000,0.520000,11.115974,12.886921
sub-004,ses-02,ses-03,0.109661,0.000044,0.381468,0.250191,0.406121,0.211709,0.617211,0.561805,1.196344,0.348184,0.004089,0.002994,-0.001095,0.515000,0.520000,13.773640,12.886921
sub-005,ses-01,ses-02,0.128118,0.000036,0.000361,-0.071115,0.054052,0.783308,0.894902,0.478985,0.910932,0.271434,0.000926,0.011078,0.010153,0.835000,0.950000,16.943204,17.871079
sub-005,ses-01,ses-03,0.146551,0.000040,-0.177245,-0.082114,0.225259,0.774137,0.858292,0.432119,0.727561,0.322701,0.000926,0.008194,0.007268,0.835000,0.930000,16.943204,16.711236
sub-005,ses-02,ses-03,0.153216,0.000019,-0.177606,-0.010999,0.239397,0.821633,0.780260,0.479810,0.856707,0.221753,0.011078,0.008194,-0.002884,0.950000,0.930000,17.871079,16.711236
sub-006,ses-01,ses-02,0.481016,0.000329,-0.051064,-0.111879,0.157500,0.447528,0.684378,0.431701,0.839875,2.219239,0.030127,0.005447,-0.024680,1.000000,0.860000,40.687990,16.726904
sub-006,ses-01,ses-03,0.403715,0.000329,-0.110642,-0.122184,0.160948,0.654223,0.652380,0.438144,0.869882,1.737855,0.030127,0.012116,-0.018011,1.000000,0.970000,40.687990,21.980839
