method,protocol,n_seeds,n_obs,acc_mean,acc_std,bacc_mean,bacc_std,f1_mean,f1_std,auc_mean,auc_std,nll_mean,nll_std,brier_mean,brier_std,ece_mean,ece_std
bn_statistics_adaptation,ses-01->ses-02,5,705,0.683936170212766,0.0035929528798554124,0.683936170212766,0.0035929528798554124,0.6777149656055412,0.0038968679660888583,0.7327345390070921,0.003562776405488741,0.764089387911537,0.010702947148376859,0.43761755362082944,0.0015462578200282208,0.15496847902671662,0.0018488057751733444
bn_statistics_adaptation,ses-01->ses-03,5,720,0.6717569444444444,0.0032103018251625646,0.6717569444444444,0.0032103018251625646,0.6605558710418569,0.00317957038651454,0.7242693750000001,0.0015572806406769378,0.8053542527163196,0.014926790291433673,0.45579568398819187,0.002438974673321654,0.16289749556531502,0.003574601868923044
bn_statistics_adaptation,ses-02->ses-01,5,705,0.6701489361702128,0.0037377568697257862,0.6701489361702128,0.0037377568697257862,0.6570595959819039,0.004395191838906407,0.7301332624113476,0.0022837382202297615,0.9346866580637846,0.02669403269774133,0.46486526713310833,0.007224627289351405,0.16884517206579233,0.005140172281087949
bn_statistics_adaptation,ses-02->ses-03,5,735,0.707857142857143,0.003053126098235162,0.707857142857143,0.003053126098235162,0.6988253813436035,0.003071407479535007,0.7638981632653061,0.005409054616144778,0.7188523695379698,0.015364498423068543,0.40759039320404716,0.005937357982185901,0.14517525952892235,0.0032524981193637805
bn_statistics_adaptation,ses-03->ses-01,5,720,0.6545486111111111,0.0029573061597038537,0.6545486111111111,0.0029573061597038537,0.6417966945702216,0.0024997325426519288,0.7092792361111111,0.003615258591798206,1.0167949476408669,0.022542840280449398,0.4931264484759196,0.005639481903749786,0.18428386727513538,0.004033628115063019
bn_statistics_adaptation,ses-03->ses-02,5,735,0.6959183673469387,0.0041523354817813544,0.6959183673469387,0.0041523354817813544,0.690638873697541,0.004659927761202945,0.7449652380952381,0.003341619496842489,0.7862543086514991,0.019132929694670793,0.43111846799957754,0.006675707361461953,0.15614706973113165,0.004966246481647116
euclidean_alignment,ses-01->ses-02,5,705,0.6580992907801418,0.005654915517813319,0.6580992907801418,0.005654915517813319,0.6340633211457221,0.005889285193313624,0.7219529787234042,0.00511218528010399,0.790943799455855,0.01827031042923076,0.4561333527737463,0.00499291840846225,0.14630089183183423,0.0020353789990432657
euclidean_alignment,ses-01->ses-03,5,720,0.6485625,0.004424575814920073,0.6485625,0.004424575814920073,0.6202566219612462,0.004805074546466084,0.7093770833333333,0.002896850174524393,0.803341395376871,0.028439500667146504,0.46875518562777324,0.00522122784240464,0.15512013101743322,0.005578183105078009
euclidean_alignment,ses-02->ses-01,5,705,0.6557943262411348,0.00596295759978673,0.6557943262411348,0.005962957599786719,0.6323872975599469,0.004244292278671612,0.7225345390070922,0.007361509138070798,0.842391313337688,0.025243172579658784,0.4601475842502398,0.008292994991563062,0.14947511731056454,0.0038438518614514455
euclidean_alignment,ses-02->ses-03,5,735,0.6862244897959184,0.006400959308454513,0.6862244897959184,0.006400959308454513,0.6651735029480739,0.006517925542730327,0.7477029931972788,0.00743086049180477,0.6909698083920747,0.016206232040900694,0.4194698180500341,0.007974648015028741,0.13190860517454792,0.002075714997601932
euclidean_alignment,ses-03->ses-01,5,720,0.6378402777777777,0.005340246170980018,0.6378402777777777,0.005340246170979994,0.6070291469794403,0.007145294627149239,0.7050340972222221,0.005513875618336947,0.9853331207116651,0.028336686041311215,0.49813861701992374,0.0072316498336333435,0.17703468650124138,0.00239787592803265
euclidean_alignment,ses-03->ses-02,5,735,0.6791292517006802,0.008055858026016388,0.6791292517006802,0.008055858026016388,0.6591571025381245,0.008455163964684959,0.7406575510204082,0.008311284893897753,0.7588775678252688,0.03048138917532918,0.43412875379434357,0.00931801007972109,0.1417882345302575,0.003992193372859855
filterbank_reweighting,ses-01->ses-02,5,705,0.6604397163120567,0.0022654662671457116,0.6604397163120567,0.0022654662671457116,0.6358674374453717,0.002723861220737489,0.7150546808510638,0.0022778600960931383,0.7829102811390362,0.018086103157602538,0.4509156829275244,0.0030063191540622954,0.15062832028645992,0.0008727049931908981
filterbank_reweighting,ses-01->ses-03,5,720,0.6609305555555556,0.0017877595210033807,0.6609305555555556,0.0017877595210033807,0.6355450233313384,0.001023848103200844,0.7145488888888889,0.003551049861875728,0.7770475945514692,0.013107082955308184,0.4513796070974142,0.0042535240828345125,0.15091011137018598,0.004059341941019117
filterbank_reweighting,ses-02->ses-01,5,705,0.6641843971631205,0.00670878501582149,0.6641843971631205,0.00670878501582149,0.6438884324904697,0.009462102985339872,0.7207453191489362,0.006869111733788212,0.7517680004278714,0.012807889483339599,0.44793600395985056,0.009118303369304531,0.14869164517247083,0.005784010903080532
filterbank_reweighting,ses-02->ses-03,5,735,0.6971836734693877,0.004109564292327749,0.6971836734693877,0.004109564292327749,0.6808984904010773,0.005705363745034437,0.7550872789115646,0.004585566581234356,0.6630424690458188,0.017854150019004277,0.40301579944084354,0.006200363315840578,0.1325617930970224,0.004526992512571752
filterbank_reweighting,ses-03->ses-01,5,720,0.6517847222222222,0.0018372748035347588,0.6517847222222222,0.0018372748035347976,0.628797988065152,0.0007771996856871996,0.7120069444444445,0.004733460834917155,0.8688136364475618,0.01782198669690173,0.48096762179375674,0.0028004168337901502,0.17088278265297407,0.003306363242859583
filterbank_reweighting,ses-03->ses-02,5,735,0.6922448979591836,0.0005820203982641278,0.6922448979591836,0.0005820203982641278,0.6755441760131679,0.002237740364288422,0.7542498639455781,0.0028487312004720493,0.7228336474609556,0.015506132980084613,0.41951600764241237,0.001479416934590957,0.14572400163509405,0.0026183150163435987
none_reference,ses-01->ses-02,5,705,0.6698085106382978,0.002736945501932626,0.6698085106382978,0.002736945501932626,0.6485154085106383,0.003640240222733009,0.7290563829787235,0.0036819277863275866,0.8747364241134752,0.04294840961632025,0.45531856879432625,0.003921082219955767,0.15752556595744682,0.005141735423414568
none_reference,ses-01->ses-03,5,720,0.663,0.0025034312872288782,0.663,0.0025034312872288782,0.6385490236111112,0.0038869676708409473,0.722347638888889,0.0017533107103833642,0.8414543875,0.01719415328673981,0.4625947,0.0040595279416545315,0.16104495138888889,0.005309212786833451
none_reference,ses-02->ses-01,5,705,0.6724113475177305,0.0034894049469729803,0.6724113475177305,0.0034894049469729803,0.6577462652482269,0.004030672783297322,0.7260570921985815,0.002286638693203163,0.8600492780141845,0.040222314012752725,0.4568615716312056,0.0058205135073957255,0.16291522978723405,0.004603869331595471
none_reference,ses-02->ses-03,5,735,0.7062244897959183,0.003965292059499194,0.7062244897959183,0.003965292059499194,0.6926441904761906,0.0054804786250025085,0.7630760544217687,0.004984812277841947,0.7101704,0.016552897161073367,0.40588555918367347,0.004567345031789,0.13868008299319728,0.0012530166161736423
none_reference,ses-03->ses-01,5,720,0.649875,0.004735917640232083,0.649875,0.004735917640232083,0.6308435319444444,0.005883007116032393,0.7037926388888889,0.003194958604455184,1.0064523013888889,0.031847663574770355,0.4966013,0.006302004204712,0.18321696805555554,0.0039069774463283925
none_reference,ses-03->ses-02,5,735,0.6771020408163265,0.0029757842288335645,0.6771020408163265,0.0029757842288335645,0.6602117591836735,0.004256293089358654,0.7375517006802721,0.0029696063458360057,0.8730742598639456,0.030197678327951286,0.4553615605442177,0.008862718635295561,0.16373091700680273,0.006254413529929651
riemannian_alignment,ses-01->ses-02,5,705,0.6588368794326241,0.004495156087176065,0.6588368794326241,0.004495156087176065,0.6396473824150759,0.004303773116385408,0.7157723404255318,0.0051862481148298575,0.7427521478965985,0.013867991657263616,0.44977828609129755,0.0007896835454027078,0.13830823608746762,0.0037646618140176774
riemannian_alignment,ses-01->ses-03,5,720,0.6523263888888888,0.0041976280228860924,0.6523263888888888,0.0041976280228860924,0.6321437340298156,0.004548492278626822,0.704875625,0.004844366231211115,0.7423504657008582,0.007610074737340435,0.4548695495955185,0.003888148810185965,0.1408219689296351,0.0033186696482395963
riemannian_alignment,ses-02->ses-01,5,705,0.6629574468085107,0.005697494677604176,0.6629574468085107,0.005697494677604176,0.6480598837774212,0.004983385257196258,0.715599645390071,0.0073749566823880005,0.7337643722534601,0.011346775225988143,0.4434378186088046,0.006834259856750572,0.13749235663557724,0.005410366471237082
riemannian_alignment,ses-02->ses-03,5,735,0.6858503401360545,0.004905653442518033,0.6858503401360545,0.004905653442518033,0.6696267011107222,0.00360333848824999,0.7424039455782314,0.006056398280907548,0.671251162220122,0.011373380171486244,0.41321262133535963,0.006285385911462286,0.12664825359939716,0.0026751224380070246
riemannian_alignment,ses-03->ses-01,5,720,0.6435347222222222,0.003847335036452608,0.6435347222222222,0.003847335036452608,0.6249954097902679,0.004587231223997813,0.6956982638888889,0.005226507250372333,0.8186789477502721,0.018121452050415876,0.4756436286392659,0.0056059289960342165,0.15461442802929212,0.0027139555934637643
riemannian_alignment,ses-03->ses-02,5,735,0.6772925170068026,0.004212559973450592,0.6772925170068026,0.004212559973450592,0.6612564820490549,0.004062019072691163,0.7344758503401361,0.006239763480669125,0.7213361005140404,0.02268635557270035,0.42838121783555316,0.008386537346221355,0.1335003952704319,0.004907102892321281
session_zscore,ses-01->ses-02,5,705,0.6731418439716312,0.0034398698510734733,0.6731418439716312,0.003439869851073478,0.6538586662903871,0.005692918877035218,0.7298628368794325,0.0031978211374562027,0.7650138854993679,0.016929649961242042,0.445029476814348,0.00659079197881668,0.1526022129532293,0.005798409241450727
session_zscore,ses-01->ses-03,5,720,0.6642083333333333,0.0005465414547208777,0.6642083333333334,0.0005465414547208562,0.6416043300415475,0.0030895911196754076,0.7197620138888888,0.0017872740700480363,0.8069811638625752,0.028647897868597193,0.4624763766046688,0.00423646053146731,0.1614121660540501,0.005382208873984518
session_zscore,ses-02->ses-01,5,705,0.6561985815602837,0.0008538370891217064,0.6561985815602837,0.0008538370891217064,0.6323900641651179,0.0018367698356277786,0.7217660992907801,0.003746284020408929,0.9338340753200629,0.03185566171264469,0.480665047790587,0.005710604828419197,0.17410235195337456,0.004671195286081366
session_zscore,ses-02->ses-03,5,735,0.7029591836734694,0.002405413703774637,0.7029591836734694,0.002405413703774637,0.6881945046017771,0.0023472184710073883,0.7614542176870748,0.0024610148769620642,0.6928029363607469,0.018259211623515174,0.411234019712555,0.006421954806083812,0.14054181965759818,0.005250229502830467
session_zscore,ses-03->ses-01,5,720,0.6420694444444445,0.0028226070111700132,0.6420694444444445,0.0028226070111700132,0.6195990352235533,0.0029825170095680556,0.7052326388888889,0.003789783720497518,1.003185038331948,0.0325479749668963,0.5034031873617237,0.008771508635161188,0.18660173296887012,0.006526987435583989
session_zscore,ses-03->ses-02,5,735,0.6807142857142858,0.00489531296619281,0.6807142857142858,0.00489531296619281,0.6619854496317392,0.006200188153694921,0.7438254421768706,0.0025559010219064235,0.7726370663261737,0.02117648302054484,0.4453941413227005,0.008490630310452623,0.1588097195669907,0.00629605034774728
