model,subject,session,mean_acc,std_acc,mean_bacc,mean_f1,mean_auc
deepconvnet,sub-001,ses-01,0.679,0.026786190471957717,0.679,0.67167198,0.7386
deepconvnet,sub-001,ses-02,0.907,0.023345235059857496,0.907,0.90547116,0.9662000000000001
deepconvnet,sub-001,ses-03,0.8869999999999999,0.011510864433221359,0.8869999999999999,0.88526428,0.9560000000000001
deepconvnet,sub-002,ses-01,0.594,0.016733200530681475,0.594,0.5826065,0.6282
deepconvnet,sub-002,ses-02,0.548,0.02683281572999747,0.548,0.51772162,0.5923999999999999
deepconvnet,sub-002,ses-03,0.6910000000000001,0.011401754250991354,0.6910000000000001,0.68567544,0.756
deepconvnet,sub-003,ses-01,0.8300000000000001,0.04782781617427248,0.8300000000000001,0.8249387800000001,0.8888
deepconvnet,sub-003,ses-02,0.8030000000000002,0.021679483388678766,0.8030000000000002,0.79836924,0.8997999999999999
deepconvnet,sub-003,ses-03,0.8470000000000001,0.013038404810405373,0.8470000000000001,0.8438318,0.9081999999999999
deepconvnet,sub-004,ses-01,0.47000000000000003,0.03657184709581949,0.47000000000000003,0.4405886,0.47539999999999993
deepconvnet,sub-004,ses-02,0.5050000000000001,0.028062430400804545,0.5050000000000001,0.48504944000000005,0.5276
deepconvnet,sub-004,ses-03,0.5269999999999999,0.006708203932499338,0.5269999999999999,0.50121768,0.5468
deepconvnet,sub-005,ses-01,0.86,0.019039432764659796,0.86,0.85835302,0.9311999999999999
deepconvnet,sub-005,ses-02,0.773,0.023075961518428674,0.773,0.76995854,0.8502000000000001
deepconvnet,sub-005,ses-03,0.5589999999999999,0.037815340802378035,0.5589999999999999,0.54084306,0.5912
deepconvnet,sub-006,ses-01,0.8699999999999999,0.01172603939955859,0.8699999999999999,0.8687867600000001,0.9414
deepconvnet,sub-006,ses-02,0.951,0.00961769203083566,0.951,0.95083052,0.9879999999999999
deepconvnet,sub-006,ses-03,0.9640000000000001,0.011401754250991379,0.9640000000000001,0.9638591999999999,0.991
deepconvnet,sub-007,ses-01,0.603,0.01524795068197691,0.603,0.59148584,0.6365999999999999
deepconvnet,sub-007,ses-02,0.806,0.019811612756158916,0.806,0.8044824800000001,0.8812
deepconvnet,sub-007,ses-03,0.865,0.016955824957813167,0.865,0.8635671800000001,0.9212
deepconvnet,sub-008,ses-01,0.608,0.019235384061671357,0.608,0.59584358,0.6616
deepconvnet,sub-008,ses-02,0.79,0.037583240945932274,0.79,0.7877591,0.884
deepconvnet,sub-008,ses-03,0.89,0.01695582495781316,0.89,0.88946804,0.9342
deepconvnet,sub-009,ses-01,0.708,0.03456877203488719,0.708,0.70060322,0.7678
deepconvnet,sub-009,ses-02,0.6559999999999999,0.0449165893629514,0.6559999999999999,0.64280488,0.7118
deepconvnet,sub-009,ses-03,0.536,0.013416407864998758,0.536,0.5150705600000001,0.5606
deepconvnet,sub-010,ses-01,0.65,0.016955824957813167,0.65,0.63765202,0.7186
deepconvnet,sub-010,ses-02,0.869,0.011937336386313278,0.869,0.86755008,0.9526
deepconvnet,sub-010,ses-03,0.636,0.03416869912653983,0.636,0.6248259,0.7013999999999999
deepconvnet,sub-011,ses-01,0.933,0.0075828754440514946,0.933,0.93232286,0.9789999999999999
deepconvnet,sub-011,ses-02,0.747,0.021679483388678804,0.747,0.7368406200000001,0.7974
deepconvnet,sub-011,ses-03,0.975,0.0035355339059327897,0.975,0.9749425,0.9912000000000001
deepconvnet,sub-012,ses-01,0.493,0.025884358211089604,0.493,0.45565122,0.47640000000000005
deepconvnet,sub-012,ses-02,0.44000000000000006,0.012747548783981957,0.44000000000000006,0.4139591,0.418
deepconvnet,sub-012,ses-03,0.562,0.017888543819998295,0.562,0.55027764,0.593
deepconvnet,sub-013,ses-01,0.717,0.038013155617496394,0.717,0.7090075,0.7865
deepconvnet,sub-013,ses-02,0.8200000000000001,0.022638462845343568,0.8200000000000001,0.8175670199999999,0.9144
deepconvnet,sub-013,ses-03,0.771,0.013874436925511624,0.771,0.7676519799999999,0.861
deepconvnet,sub-014,ses-01,0.517,0.016046806535881204,0.517,0.49817168,0.5276
deepconvnet,sub-014,ses-02,0.5,0.01903943276465979,0.5,0.47176524,0.4968
deepconvnet,sub-014,ses-03,0.49800000000000005,0.029916550603303255,0.49800000000000005,0.46991444,0.5052000000000001
deepconvnet,sub-015,ses-01,0.674,0.008215838362577502,0.674,0.66390476,0.7310000000000001
deepconvnet,sub-015,ses-02,0.6759999999999999,0.020736441353327695,0.6759999999999999,0.66695956,0.7258
deepconvnet,sub-015,ses-03,0.5599999999999999,0.049117206760971234,0.5599999999999999,0.5197947199999999,0.5826
deepconvnet,sub-016,ses-01,0.7020000000000001,0.017888543819998277,0.7020000000000001,0.69558792,0.7586
deepconvnet,sub-016,ses-02,0.587,0.017535677916750186,0.587,0.57228214,0.6346
deepconvnet,sub-016,ses-03,0.519,0.02103568396796267,0.519,0.49287961999999996,0.5332
deepconvnet,sub-017,ses-01,0.6980000000000001,0.021679483388678773,0.6980000000000001,0.69314304,0.7817999999999999
deepconvnet,sub-017,ses-02,0.7150000000000001,0.016955824957813188,0.7150000000000001,0.70862068,0.8092
deepconvnet,sub-017,ses-03,0.805,0.023184046238739237,0.805,0.80273558,0.8716000000000002
deepconvnet,sub-018,ses-01,0.686,0.02837252191822225,0.686,0.68008734,0.7638
deepconvnet,sub-018,ses-02,0.638,0.025149552679918606,0.638,0.6268298999999999,0.6964
deepconvnet,sub-018,ses-03,0.5439999999999999,0.023822258499143198,0.5439999999999999,0.5243256199999999,0.5731999999999999
deepconvnet,sub-019,ses-01,0.534,0.03070016286601751,0.534,0.50780242,0.5609999999999999
deepconvnet,sub-019,ses-02,0.705,0.006123724356957991,0.705,0.69861238,0.7688
deepconvnet,sub-019,ses-03,0.885,0.018371173070873822,0.885,0.8832857000000001,0.9406000000000001
deepconvnet,sub-020,ses-01,0.937,0.01604680653588122,0.937,0.9365116200000001,0.9822000000000001
deepconvnet,sub-020,ses-02,0.9399999999999998,0.01767766952966365,0.9399999999999998,0.9396454200000001,0.9853999999999999
deepconvnet,sub-020,ses-03,0.951,0.005477225575051648,0.951,0.9508516200000001,0.9880000000000001
deepconvnet,sub-021,ses-01,0.621,0.05067050424063291,0.621,0.59959026,0.726
deepconvnet,sub-021,ses-02,0.709,0.009617692030835668,0.709,0.70276272,0.8039999999999999
deepconvnet,sub-021,ses-03,0.774,0.026315394733881555,0.774,0.76546446,0.8784000000000001
deepconvnet,sub-022,ses-01,0.735,0.035881750236018244,0.735,0.7271737,0.792
deepconvnet,sub-022,ses-02,0.722,0.03365263734092768,0.722,0.71613562,0.7664
deepconvnet,sub-022,ses-03,0.6880000000000001,0.038340579025361636,0.6880000000000001,0.6816177,0.7514000000000001
deepconvnet,sub-023,ses-02,0.8019999999999999,0.04508325631539931,0.8019999999999999,0.7978455799999999,0.8794000000000001
deepconvnet,sub-023,ses-03,0.8949999999999999,0.028062430400804604,0.8949999999999999,0.89438076,0.9370999999999998
deepconvnet,sub-024,ses-01,0.9380000000000001,0.007582875444051525,0.9380000000000001,0.9376352600000001,0.9892
