method,training_scope,gain_acc_mean,gain_acc_std
bn_statistics_adaptation,single_source,0.005586266340731513,0.00034190630804721713
euclidean_alignment,single_source,0.004400659091794763,0.0009652973193963026
filterbank_reweighting,single_source,-0.014696624237342498,0.0018265203299012878
riemannian_alignment,single_source,0.0073954592750931514,0.0009718085439641347
session_zscore,single_source,0.014188054514833575,0.0018701143777669312
bn_statistics_adaptation,all,0.005586266340731513,0.00034190630804721713
euclidean_alignment,all,0.004400659091794763,0.0009652973193963026
filterbank_reweighting,all,-0.014696624237342498,0.0018265203299012878
riemannian_alignment,all,0.0073954592750931514,0.0009718085439641347
session_zscore,all,0.014188054514833575,0.0018701143777669312
