model,train_session,test_session,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,auc_mean,auc_std,nll_mean,nll_std,brier_mean,brier_std,ece_mean,ece_std
deepconvnet,ses-01,ses-02,5,0.531939,0.006232,0.531478,0.006237,0.481487,0.006227,0.556654,0.007713,1.182814,0.143096,0.585514,0.009715,0.188540,0.010894
deepconvnet,ses-01,ses-03,5,0.532290,0.007066,0.533561,0.005821,0.483914,0.016966,0.555662,0.011598,1.261824,0.229201,0.584403,0.006530,0.199433,0.008931
deepconvnet,ses-01,ses-04,5,0.535113,0.006166,0.534820,0.005920,0.479617,0.009295,0.557400,0.016239,0.993788,0.066629,0.575254,0.008639,0.192946,0.012632
deepconvnet,ses-01,ses-05,5,0.540757,0.007868,0.541258,0.008317,0.495012,0.007613,0.570503,0.010512,0.966871,0.086136,0.564417,0.012012,0.183960,0.008594
deepconvnet,ses-02,ses-01,5,0.536267,0.012511,0.536315,0.012202,0.485087,0.020581,0.554184,0.008475,1.129647,0.012076,0.575702,0.009252,0.186340,0.014221
deepconvnet,ses-02,ses-03,5,0.530629,0.008719,0.531841,0.008281,0.494357,0.014221,0.556604,0.011127,1.282936,0.134452,0.594332,0.009114,0.203748,0.005467
deepconvnet,ses-02,ses-04,5,0.547935,0.008218,0.547869,0.008643,0.495425,0.004757,0.587469,0.007579,0.973211,0.081395,0.555160,0.006967,0.179533,0.009633
deepconvnet,ses-02,ses-05,5,0.543493,0.006076,0.544175,0.006608,0.492658,0.010920,0.564818,0.004097,1.080708,0.084590,0.570930,0.007846,0.188919,0.010750
deepconvnet,ses-03,ses-01,5,0.519926,0.004227,0.519339,0.003776,0.456032,0.005717,0.553402,0.006426,0.950382,0.082457,0.578325,0.027103,0.183481,0.025166
deepconvnet,ses-03,ses-02,5,0.514809,0.010863,0.515109,0.010789,0.465811,0.013203,0.535633,0.020453,0.973028,0.041334,0.580880,0.020522,0.183477,0.024075
deepconvnet,ses-03,ses-04,5,0.510702,0.014576,0.510913,0.014593,0.449513,0.023092,0.541104,0.014712,0.988356,0.070986,0.587187,0.017821,0.190745,0.023913
deepconvnet,ses-03,ses-05,5,0.531230,0.011121,0.533049,0.012044,0.474259,0.014185,0.554629,0.016976,0.948573,0.040650,0.569944,0.010110,0.178252,0.010890
deepconvnet,ses-04,ses-01,5,0.530955,0.011598,0.530317,0.012816,0.477113,0.014935,0.544971,0.020603,1.151516,0.150007,0.603071,0.019890,0.209803,0.016333
deepconvnet,ses-04,ses-02,5,0.558690,0.006358,0.557851,0.006444,0.510913,0.009979,0.590434,0.009347,0.998671,0.134027,0.558557,0.013887,0.193979,0.013687
deepconvnet,ses-04,ses-03,5,0.530216,0.005265,0.533145,0.005094,0.480415,0.006081,0.559513,0.013928,1.244519,0.156356,0.628162,0.023977,0.235433,0.019049
deepconvnet,ses-04,ses-05,5,0.569210,0.006842,0.566251,0.006711,0.526352,0.012828,0.596384,0.009125,1.005106,0.070635,0.542228,0.011807,0.174505,0.014086
deepconvnet,ses-05,ses-01,5,0.527604,0.006943,0.526898,0.006539,0.468025,0.013681,0.545941,0.007563,1.206862,0.159624,0.599285,0.017451,0.211786,0.015036
deepconvnet,ses-05,ses-02,5,0.543740,0.013047,0.544331,0.013247,0.496846,0.018180,0.564635,0.019964,1.042346,0.103962,0.584589,0.010493,0.199179,0.014827
deepconvnet,ses-05,ses-03,5,0.537544,0.013376,0.538183,0.013334,0.489341,0.020867,0.575039,0.014478,1.200872,0.160742,0.607356,0.013100,0.222383,0.009168
deepconvnet,ses-05,ses-04,5,0.552374,0.011322,0.552484,0.011391,0.504403,0.019022,0.587313,0.012001,1.026958,0.092391,0.570064,0.019189,0.191163,0.013754
eegnet,ses-01,ses-02,5,0.526296,0.010923,0.526192,0.010738,0.503819,0.013800,0.535862,0.015978,1.469207,0.091005,0.592240,0.027815,0.181827,0.014198
eegnet,ses-01,ses-03,5,0.537487,0.010897,0.537474,0.011336,0.513831,0.015527,0.557526,0.009438,1.486866,0.307543,0.582036,0.032827,0.177578,0.025018
eegnet,ses-01,ses-04,5,0.545481,0.010246,0.545283,0.010100,0.521163,0.009153,0.564197,0.013525,1.037512,0.061157,0.551877,0.006499,0.161754,0.007871
eegnet,ses-01,ses-05,5,0.551841,0.015186,0.550543,0.014255,0.528387,0.012010,0.569641,0.012030,1.079600,0.129216,0.547169,0.023757,0.152879,0.013119
eegnet,ses-02,ses-01,5,0.528784,0.008199,0.528157,0.008102,0.504604,0.005032,0.536806,0.009783,1.104356,0.128827,0.559603,0.015575,0.153034,0.014659
eegnet,ses-02,ses-03,5,0.532238,0.007053,0.532924,0.007574,0.515949,0.008517,0.543614,0.010382,1.222145,0.115494,0.578427,0.015591,0.169288,0.018312
eegnet,ses-02,ses-04,5,0.549484,0.003659,0.549435,0.003888,0.526697,0.004088,0.569266,0.009050,0.928398,0.103505,0.538205,0.012034,0.145352,0.013257
eegnet,ses-02,ses-05,5,0.532771,0.010782,0.533034,0.010524,0.508472,0.011527,0.547993,0.013930,1.044979,0.091849,0.563639,0.008349,0.157567,0.009357
eegnet,ses-03,ses-01,5,0.527683,0.019022,0.527423,0.019122,0.503024,0.017494,0.546715,0.017904,0.881163,0.117812,0.540627,0.025185,0.139019,0.023895
eegnet,ses-03,ses-02,5,0.513483,0.005612,0.513634,0.005581,0.496372,0.004369,0.518920,0.012049,0.963042,0.024210,0.566480,0.006338,0.156597,0.003941
eegnet,ses-03,ses-04,5,0.512676,0.006799,0.512970,0.006634,0.487077,0.009101,0.520740,0.004411,0.978518,0.179984,0.556578,0.008226,0.144363,0.001891
eegnet,ses-03,ses-05,5,0.533759,0.005458,0.533688,0.005879,0.510197,0.004883,0.546101,0.012397,0.870672,0.075025,0.542677,0.012779,0.140228,0.006813
eegnet,ses-04,ses-01,5,0.543774,0.009346,0.543011,0.009308,0.516431,0.011628,0.555846,0.013347,0.979431,0.151988,0.557543,0.025236,0.170472,0.028582
eegnet,ses-04,ses-02,5,0.564536,0.012709,0.564307,0.012642,0.546385,0.015597,0.586009,0.015476,1.075443,0.211245,0.553240,0.032829,0.172898,0.030485
eegnet,ses-04,ses-03,5,0.538223,0.016400,0.538946,0.016397,0.517565,0.014943,0.564735,0.019179,1.299071,0.173764,0.589264,0.029856,0.194772,0.028762
eegnet,ses-04,ses-05,5,0.563848,0.010699,0.561297,0.010524,0.542801,0.013307,0.584916,0.012901,0.982029,0.127330,0.531542,0.023751,0.154503,0.011676
eegnet,ses-05,ses-01,5,0.532345,0.011099,0.532108,0.010892,0.506821,0.013087,0.544205,0.017091,1.235504,0.264192,0.572612,0.026479,0.171353,0.026249
eegnet,ses-05,ses-02,5,0.529820,0.005874,0.529836,0.005767,0.509179,0.008702,0.535662,0.009295,1.060183,0.139101,0.572490,0.019926,0.175464,0.021777
eegnet,ses-05,ses-03,5,0.540056,0.013595,0.540618,0.013986,0.518844,0.013297,0.563947,0.013022,1.215490,0.200628,0.581049,0.029058,0.186567,0.024583
eegnet,ses-05,ses-04,5,0.556879,0.009072,0.557066,0.008936,0.537056,0.014080,0.574526,0.004339,0.971469,0.136225,0.541416,0.016952,0.154423,0.015677
fbcnet,ses-01,ses-02,5,0.505797,0.005502,0.505694,0.004683,0.424911,0.013294,0.513527,0.008148,1.363652,0.061968,0.696789,0.016137,0.287135,0.012157
fbcnet,ses-01,ses-03,5,0.514308,0.007406,0.514775,0.007998,0.420741,0.009444,0.535099,0.013170,1.470363,0.130889,0.699979,0.011020,0.290780,0.006939
fbcnet,ses-01,ses-04,5,0.502807,0.005671,0.502521,0.005287,0.408690,0.008145,0.524138,0.003695,1.225304,0.044831,0.700612,0.005726,0.293561,0.004045
fbcnet,ses-01,ses-05,5,0.500916,0.005341,0.502983,0.005201,0.406742,0.008019,0.516049,0.009025,1.328450,0.079506,0.710986,0.008634,0.300047,0.004392
fbcnet,ses-02,ses-01,5,0.504766,0.006494,0.502940,0.006047,0.422856,0.010230,0.512628,0.008017,1.224349,0.051135,0.687381,0.012750,0.284857,0.010437
