model,seed,accuracy,balanced_accuracy,macro_f1,auc,nll,brier,ece
deepconvnet,0,0.539048,0.539656,0.482256,0.569608,1.098855,0.584805,0.199994
deepconvnet,1,0.533975,0.533658,0.485038,0.559014,1.003024,0.571654,0.182713
deepconvnet,2,0.530699,0.530847,0.477874,0.556884,1.050421,0.579725,0.190407
deepconvnet,3,0.538526,0.539120,0.490314,0.561291,1.099507,0.588033,0.208105
deepconvnet,4,0.539107,0.539016,0.491163,0.566276,1.150440,0.579622,0.193182
eegnet,0,0.530473,0.530433,0.507207,0.543073,1.021947,0.555171,0.153439
eegnet,1,0.539059,0.538609,0.516236,0.551374,1.060064,0.559216,0.162275
eegnet,2,0.542195,0.541906,0.517004,0.560303,1.080089,0.559307,0.162431
eegnet,3,0.543229,0.543073,0.521435,0.558231,1.153716,0.564342,0.170976
eegnet,4,0.535410,0.535466,0.516786,0.553825,1.155453,0.566643,0.165862
fbcnet,0,0.508463,0.508441,0.424695,0.520882,1.284202,0.687354,0.284662
fbcnet,1,0.507314,0.506840,0.417832,0.521052,1.335349,0.697146,0.292721
fbcnet,2,0.506293,0.506237,0.421201,0.520928,1.260839,0.690398,0.286326
fbcnet,3,0.509624,0.509367,0.425253,0.524220,1.248190,0.678349,0.277489
fbcnet,4,0.507462,0.506728,0.412679,0.517583,1.350433,0.701894,0.295113
