model,seed,acc,bacc,f1,auc,nll,brier,ece
deepconvnet,0,0.5722431051402341,0.5736360690179111,0.5494321399874214,0.5975970174435651,1.0677326250076293,0.5654738855257513,0.18554216140724203
deepconvnet,1,0.5495097680633607,0.5513372312335233,0.533668212681231,0.576649135312377,1.1717430973052978,0.5728524014474538,0.20028248107455973
deepconvnet,2,0.5408196994703777,0.5404829213943941,0.5223920714550799,0.5643855905510491,0.9689168858528138,0.5706844239820092,0.19529308961475383
deepconvnet,3,0.5717565997540198,0.5721596679570766,0.545138877928732,0.5949076427737383,1.1948672616481781,0.5594042270103858,0.19240374489182915
deepconvnet,4,0.5544230461994768,0.5563724214114874,0.5274077818492254,0.5793199717861812,1.1872595727443696,0.5990302241768795,0.2163716099997107
eegnet,0,0.5497275020513037,0.5485315940653752,0.5230300319445912,0.5710997703722934,1.113774721622467,0.574843090872115,0.17603073079458922
eegnet,1,0.5321025728824782,0.534169727213757,0.5164941843512747,0.5656422010421438,0.9642477655410766,0.5734067055294334,0.17685581560544555
eegnet,2,0.5284629981362344,0.5310079333974514,0.5022423596890031,0.5568519882251407,0.9127226352691651,0.5451666367293886,0.15083799810907503
eegnet,3,0.543138505054409,0.5439283289413903,0.5251608709947668,0.5662701907867995,0.9904190874099732,0.5362392370688166,0.14247504243684028
eegnet,4,0.5645597524012276,0.5642403904642589,0.548905163483531,0.5682518908671401,1.1092236256599426,0.5463537813646798,0.14960858949488834
fbcnet,0,0.5101122524825707,0.5098133554010039,0.4547104953514928,0.5343844731271018,0.9300261187553406,0.6068213645782474,0.2245118730462465
fbcnet,1,0.504755999546936,0.5088456498583657,0.45043161016470523,0.5237814474945325,1.0174375939369202,0.6399780496336205,0.24331928314258
fbcnet,2,0.5214398580678902,0.5201603765647821,0.4725024189882439,0.5360218877998988,0.9956772541999817,0.6268808746495516,0.22737152789714662
fbcnet,3,0.5041497753020078,0.5024775456182377,0.43867320079358924,0.5036770068369986,1.0779554057121277,0.6611344572980975,0.2538176002514841
fbcnet,4,0.5177510611919547,0.5185623104580239,0.4379743082479554,0.5383862989638858,1.1185024929046632,0.6663273073897272,0.2632653688331541
