model,protocol,subject,session,train_session,test_session,seed,fold,n_train,n_val,n_test,best_epoch,accuracy,balanced_accuracy,macro_f1,auc,nll,brier,ece
deepconvnet,cross_session,sub-001,,ses-01,ses-02,0,,80,20,100,1,0.520000,0.520000,0.515152,0.483600,0.849883,0.594833,0.177487
deepconvnet,cross_session,sub-001,,ses-01,ses-03,0,,80,20,99,1,0.505051,0.509592,0.383217,0.485306,1.294238,0.674342,0.249776
deepconvnet,cross_session,sub-001,,ses-01,ses-04,0,,80,20,99,1,0.484848,0.480204,0.343006,0.482041,1.152508,0.672183,0.249180
deepconvnet,cross_session,sub-001,,ses-01,ses-05,0,,80,20,94,1,0.521277,0.510870,0.361702,0.523098,1.851128,0.737972,0.313497
deepconvnet,cross_session,sub-001,,ses-02,ses-01,0,,80,20,100,1,0.460000,0.460000,0.426995,0.453200,0.705208,0.511951,0.072144
deepconvnet,cross_session,sub-001,,ses-02,ses-03,0,,80,20,99,1,0.515152,0.519388,0.414778,0.575510,0.701381,0.507359,0.124658
deepconvnet,cross_session,sub-001,,ses-02,ses-04,0,,80,20,99,1,0.505051,0.502041,0.455005,0.472245,0.707998,0.515019,0.111036
deepconvnet,cross_session,sub-001,,ses-02,ses-05,0,,80,20,94,1,0.478723,0.471920,0.415111,0.482790,0.823484,0.573523,0.160786
deepconvnet,cross_session,sub-001,,ses-03,ses-01,0,,79,20,100,1,0.480000,0.480000,0.324324,0.545600,0.702524,0.509241,0.075543
deepconvnet,cross_session,sub-001,,ses-03,ses-02,0,,79,20,100,1,0.530000,0.530000,0.528822,0.563600,0.685479,0.492205,0.042009
deepconvnet,cross_session,sub-001,,ses-03,ses-04,0,,79,20,99,1,0.535354,0.538980,0.468983,0.525306,0.806726,0.562975,0.154782
deepconvnet,cross_session,sub-001,,ses-03,ses-05,0,,79,20,94,1,0.531915,0.541214,0.428413,0.487772,0.985578,0.621674,0.220226
deepconvnet,cross_session,sub-001,,ses-04,ses-01,0,,79,20,100,3,0.500000,0.500000,0.333333,0.490800,0.704759,0.511391,0.069158
deepconvnet,cross_session,sub-001,,ses-04,ses-02,0,,79,20,100,3,0.470000,0.470000,0.428325,0.455200,0.729811,0.535060,0.105828
deepconvnet,cross_session,sub-001,,ses-04,ses-03,0,,79,20,99,3,0.515152,0.515102,0.515102,0.499184,0.766072,0.551060,0.087956
deepconvnet,cross_session,sub-001,,ses-04,ses-05,0,,79,20,94,3,0.553191,0.548913,0.532006,0.527627,0.812051,0.545800,0.149437
deepconvnet,cross_session,sub-001,,ses-05,ses-01,0,,75,19,100,1,0.490000,0.490000,0.374310,0.488400,0.693368,0.500223,0.033035
deepconvnet,cross_session,sub-001,,ses-05,ses-02,0,,75,19,100,1,0.500000,0.500000,0.496779,0.473200,0.695463,0.502318,0.015814
deepconvnet,cross_session,sub-001,,ses-05,ses-03,0,,75,19,99,1,0.464646,0.464694,0.464646,0.451020,0.696480,0.503367,0.068022
deepconvnet,cross_session,sub-001,,ses-05,ses-04,0,,75,19,99,1,0.494949,0.494898,0.494898,0.522041,0.686554,0.493735,0.065012
deepconvnet,cross_session,sub-002,,ses-01,ses-02,0,,73,19,95,13,0.600000,0.598626,0.592367,0.626773,1.389883,0.613955,0.246600
deepconvnet,cross_session,sub-002,,ses-01,ses-03,0,,73,19,100,13,0.500000,0.496989,0.496779,0.498595,1.854557,0.816237,0.391545
deepconvnet,cross_session,sub-002,,ses-01,ses-04,0,,73,19,100,13,0.470000,0.470000,0.445549,0.460800,2.185457,0.902811,0.455930
deepconvnet,cross_session,sub-002,,ses-01,ses-05,0,,73,19,95,13,0.673684,0.671029,0.670028,0.688997,1.988098,0.574838,0.283046
deepconvnet,cross_session,sub-002,,ses-02,ses-01,0,,76,19,92,1,0.510870,0.510870,0.357043,0.577977,0.688112,0.497038,0.060354
deepconvnet,cross_session,sub-002,,ses-02,ses-03,0,,76,19,100,1,0.530000,0.500000,0.346405,0.464472,0.692160,0.499009,0.011136
deepconvnet,cross_session,sub-002,,ses-02,ses-04,0,,76,19,100,1,0.500000,0.500000,0.333333,0.565600,0.696467,0.503309,0.041748
deepconvnet,cross_session,sub-002,,ses-02,ses-05,0,,76,19,95,1,0.526316,0.510870,0.363934,0.569210,0.693703,0.500554,0.059433
deepconvnet,cross_session,sub-002,,ses-03,ses-01,0,,80,20,92,6,0.478261,0.478261,0.432974,0.497164,0.793509,0.564115,0.200681
