protocol,model,seed,subject,train_sessions,test_session,split_id,acc,bacc,f1,auc,nll,brier,ece,n_train,n_val,n_test,best_epoch,checkpoint_path,status,error_message
multisource_0102_to_03,deepconvnet,0,sub-001,ses-01+ses-02,ses-03,0,0.494949494949495,0.4912244897959184,0.4129506641366224,0.4559183673469388,0.977599024772644,0.6435009635757523,0.253120208629454,160,40,99,2,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-001_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-002,ses-01+ses-02,ses-03,0,0.52,0.5134484142914492,0.5104039167686658,0.5210758731433159,0.7107118368148804,0.5139403040814168,0.1004499804973602,149,38,100,29,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-002_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-003,ses-01+ses-02,ses-03,0,0.532608695652174,0.5236406619385343,0.4302174852369292,0.4576832151300236,1.4219220876693726,0.6190071473003892,0.163724629127461,153,39,92,1,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-003_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-004,ses-01+ses-02,ses-03,0,0.6153846153846154,0.6160368217054264,0.6151987435061013,0.6681201550387597,0.6600421667098999,0.4681809758360433,0.0942776949851067,147,37,91,12,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-004_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-005,ses-01+ses-02,ses-03,0,0.5376344086021505,0.538159111933395,0.5367774817560524,0.5568917668825162,0.9987031817436218,0.640083145072744,0.2602438433195955,155,39,93,23,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-005_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-006,ses-01+ses-02,ses-03,0,0.5368421052631579,0.5359042553191489,0.5326475849731663,0.4782801418439716,4.397718906402588,0.8942042259444252,0.4376123001700953,149,38,95,12,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-006_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-007,ses-01+ses-02,ses-03,0,0.5833333333333334,0.5833333333333333,0.5804195804195804,0.5980902777777777,0.928347647190094,0.5876674190059529,0.2311044447124004,160,40,96,7,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-007_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-008,ses-01+ses-02,ses-03,0,0.5617977528089888,0.5659090909090909,0.4967377120487168,0.744949494949495,1.652491569519043,0.7078633345802682,0.3491142485918623,155,39,89,85,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-008_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-009,ses-01+ses-02,ses-03,0,0.49,0.49,0.4615140956604371,0.4756,1.0600290298461914,0.6419700281574597,0.2074179208278656,158,40,100,4,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-009_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-010,ses-01+ses-02,ses-03,0,0.6,0.6000000000000001,0.5974235104669887,0.6232,0.672343909740448,0.4795816612871019,0.0674355566501617,146,37,100,1,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-010_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-011,ses-01+ses-02,ses-03,0,0.56,0.56,0.5571658615136876,0.5768,0.8026479482650757,0.5635101496766672,0.1957337582111358,155,39,100,10,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-011_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-012,ses-01+ses-02,ses-03,0,0.5257731958762887,0.5240221088435374,0.5107456140350877,0.550595238095238,0.68733149766922,0.4950518983308588,0.05599130121703,152,39,97,3,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-012_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-013,ses-01+ses-02,ses-03,0,0.77,0.77,0.7593890574327858,0.9028,0.5440337657928467,0.3302178239952908,0.0701949095726013,155,39,100,6,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-013_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-014,ses-01+ses-02,ses-03,0,0.4891304347826087,0.484812529663028,0.4841942025527854,0.4736592311343141,0.7334385514259338,0.5358157029072967,0.1110452666230823,156,39,92,2,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-014_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-015,ses-01+ses-02,ses-03,0,0.4470588235294118,0.4871794871794871,0.3089430894308943,0.5635451505016722,0.7598980069160461,0.5631502988134484,0.2007174190352945,156,39,85,1,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-015_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-016,ses-01+ses-02,ses-03,0,0.73,0.73,0.7266929851199515,0.732,0.7412036657333374,0.4372863333218298,0.1496946609020233,160,40,100,15,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-016_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-017,ses-01+ses-02,ses-03,0,0.4591836734693877,0.4666666666666667,0.3801169590643274,0.5258333333333334,0.8099583983421326,0.5933613454980915,0.2276948179517473,160,40,98,2,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-017_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-018,ses-01+ses-02,ses-03,0,0.58,0.5800000000000001,0.5757575757575757,0.5668000000000001,0.7212058305740356,0.5186657258064621,0.1088084369897842,155,39,100,4,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-018_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-019,ses-01+ses-02,ses-03,0,0.6914893617021277,0.698639455782313,0.6854736356293989,0.7519274376417233,0.6342511177062988,0.4344530561739459,0.0735546489979358,152,38,94,8,/share/home/yuan/SYX/eeg-mi-online/checkpoints/shu/session_multisource_v1/deepconvnet/multisource_sub-019_ses01ses02-to-ses-03_seed0.pt,ok,
