model,protocol,subject,session,train_session,test_session,seed,fold,n_train,n_val,n_test,best_epoch,accuracy,balanced_accuracy,macro_f1,auc,nll,brier,ece
deepconvnet,within_session,sub-001,ses-01,,,0,0.000000,72,18,10,27,0.400000,0.400000,0.375000,0.400000,1.929786,0.992252,0.528459
deepconvnet,within_session,sub-001,ses-01,,,0,1.000000,72,18,10,1,0.700000,0.700000,0.670330,0.800000,0.635432,0.443423,0.107526
deepconvnet,within_session,sub-001,ses-01,,,0,2.000000,72,18,10,1,0.400000,0.400000,0.400000,0.360000,0.708315,0.515263,0.214275
deepconvnet,within_session,sub-001,ses-01,,,0,3.000000,72,18,10,1,0.500000,0.500000,0.494949,0.520000,0.714107,0.519259,0.232331
deepconvnet,within_session,sub-001,ses-01,,,0,4.000000,72,18,10,4,0.300000,0.300000,0.292929,0.360000,0.875424,0.645226,0.420378
deepconvnet,within_session,sub-001,ses-01,,,0,5.000000,72,18,10,1,0.600000,0.600000,0.523810,0.320000,0.681153,0.489838,0.143018
deepconvnet,within_session,sub-001,ses-01,,,0,6.000000,72,18,10,1,0.600000,0.600000,0.523810,0.600000,0.707328,0.507666,0.256606
deepconvnet,within_session,sub-001,ses-01,,,0,7.000000,72,18,10,1,0.500000,0.500000,0.333333,0.440000,0.789571,0.585735,0.189609
deepconvnet,within_session,sub-001,ses-01,,,0,8.000000,72,18,10,1,0.800000,0.800000,0.791667,0.720000,0.679957,0.486829,0.330724
deepconvnet,within_session,sub-001,ses-01,,,0,9.000000,72,18,10,20,0.500000,0.500000,0.450549,0.680000,0.935894,0.673597,0.400351
deepconvnet,within_session,sub-001,ses-02,,,0,0.000000,72,18,10,16,0.700000,0.700000,0.696970,0.600000,1.503697,0.563981,0.319292
deepconvnet,within_session,sub-001,ses-02,,,0,1.000000,72,18,10,1,0.400000,0.400000,0.400000,0.360000,0.778433,0.580241,0.420953
deepconvnet,within_session,sub-001,ses-02,,,0,2.000000,72,18,10,28,0.300000,0.300000,0.292929,0.360000,0.928165,0.704438,0.388648
deepconvnet,within_session,sub-001,ses-02,,,0,3.000000,72,18,10,10,0.400000,0.400000,0.375000,0.120000,1.100007,0.844187,0.563144
deepconvnet,within_session,sub-001,ses-02,,,0,4.000000,72,18,10,1,0.400000,0.400000,0.285714,0.120000,0.797330,0.598558,0.214643
deepconvnet,within_session,sub-001,ses-02,,,0,5.000000,72,18,10,22,0.700000,0.700000,0.670330,0.680000,0.661479,0.470719,0.362342
deepconvnet,within_session,sub-001,ses-02,,,0,6.000000,72,18,10,18,0.300000,0.300000,0.230769,0.160000,1.472191,0.941483,0.553888
deepconvnet,within_session,sub-001,ses-02,,,0,7.000000,72,18,10,3,0.700000,0.700000,0.670330,0.720000,0.647274,0.454303,0.169742
deepconvnet,within_session,sub-001,ses-02,,,0,8.000000,72,18,10,3,0.400000,0.400000,0.375000,0.400000,0.747819,0.553820,0.234285
deepconvnet,within_session,sub-001,ses-02,,,0,9.000000,72,18,10,17,0.500000,0.500000,0.450549,0.600000,1.021269,0.691743,0.409746
deepconvnet,within_session,sub-001,ses-03,,,0,0.000000,71,18,10,2,0.600000,0.600000,0.583333,0.680000,0.710272,0.509927,0.168555
deepconvnet,within_session,sub-001,ses-03,,,0,1.000000,71,18,10,12,0.400000,0.400000,0.400000,0.480000,0.899019,0.672194,0.431061
deepconvnet,within_session,sub-001,ses-03,,,0,2.000000,71,18,10,15,0.600000,0.600000,0.600000,0.640000,1.136543,0.573670,0.304559
deepconvnet,within_session,sub-001,ses-03,,,0,3.000000,71,18,10,5,0.700000,0.700000,0.696970,0.920000,0.497810,0.328599,0.202339
deepconvnet,within_session,sub-001,ses-03,,,0,4.000000,71,18,10,6,0.700000,0.700000,0.696970,0.920000,0.481028,0.314428,0.360814
deepconvnet,within_session,sub-001,ses-03,,,0,5.000000,71,18,10,16,0.400000,0.400000,0.400000,0.480000,0.933846,0.696923,0.391564
deepconvnet,within_session,sub-001,ses-03,,,0,6.000000,71,18,10,6,0.500000,0.500000,0.494949,0.320000,0.853417,0.640750,0.332657
deepconvnet,within_session,sub-001,ses-03,,,0,7.000000,71,18,10,3,0.400000,0.400000,0.375000,0.520000,0.725946,0.532404,0.332666
deepconvnet,within_session,sub-001,ses-03,,,0,8.000000,71,18,10,19,0.500000,0.500000,0.450549,0.280000,1.072312,0.768063,0.524751
deepconvnet,within_session,sub-001,ses-03,,,0,9.000000,72,18,9,3,0.444444,0.475000,0.415584,0.550000,1.593090,0.696701,0.329650
deepconvnet,within_session,sub-001,ses-04,,,0,0.000000,71,18,10,2,0.600000,0.600000,0.583333,0.520000,0.742610,0.538551,0.185488
deepconvnet,within_session,sub-001,ses-04,,,0,1.000000,71,18,10,1,0.400000,0.400000,0.400000,0.560000,0.694621,0.500692,0.403538
deepconvnet,within_session,sub-001,ses-04,,,0,2.000000,71,18,10,2,0.500000,0.500000,0.333333,0.600000,0.701825,0.511222,0.169574
deepconvnet,within_session,sub-001,ses-04,,,0,3.000000,71,18,10,1,0.400000,0.400000,0.375000,0.400000,0.765269,0.568310,0.407676
deepconvnet,within_session,sub-001,ses-04,,,0,4.000000,71,18,10,4,0.800000,0.800000,0.791667,0.840000,0.613329,0.422819,0.222127
deepconvnet,within_session,sub-001,ses-04,,,0,5.000000,71,18,10,1,0.500000,0.500000,0.450549,0.440000,0.735285,0.540387,0.146550
deepconvnet,within_session,sub-001,ses-04,,,0,6.000000,71,18,10,1,0.500000,0.500000,0.450549,0.320000,1.018312,0.713124,0.363020
deepconvnet,within_session,sub-001,ses-04,,,0,7.000000,71,18,10,3,0.400000,0.400000,0.400000,0.240000,1.892274,0.868293,0.513086
deepconvnet,within_session,sub-001,ses-04,,,0,8.000000,71,18,10,2,0.600000,0.600000,0.600000,0.400000,0.793860,0.582763,0.257615
deepconvnet,within_session,sub-001,ses-04,,,0,9.000000,72,18,9,3,0.444444,0.475000,0.415584,0.500000,0.704605,0.512719,0.186983
deepconvnet,within_session,sub-001,ses-05,,,0,0.000000,67,17,10,12,0.400000,0.400000,0.400000,0.600000,0.655834,0.465225,0.218507
deepconvnet,within_session,sub-001,ses-05,,,0,1.000000,67,17,10,1,0.700000,0.700000,0.696970,0.680000,0.667918,0.475133,0.292453
deepconvnet,within_session,sub-001,ses-05,,,0,2.000000,67,17,10,3,0.400000,0.400000,0.400000,0.360000,0.797912,0.599480,0.197463
deepconvnet,within_session,sub-001,ses-05,,,0,3.000000,67,17,10,3,0.300000,0.300000,0.230769,0.200000,0.787026,0.591939,0.289039
deepconvnet,within_session,sub-001,ses-05,,,0,4.000000,68,17,9,1,0.333333,0.350000,0.325000,0.400000,0.758758,0.562678,0.208663
deepconvnet,within_session,sub-001,ses-05,,,0,5.000000,68,17,9,1,0.444444,0.400000,0.307692,0.450000,0.714139,0.520101,0.161260
deepconvnet,within_session,sub-001,ses-05,,,0,6.000000,68,17,9,6,0.555556,0.550000,0.550000,0.700000,1.008681,0.533181,0.349538
deepconvnet,within_session,sub-001,ses-05,,,0,7.000000,68,17,9,2,0.555556,0.550000,0.550000,0.300000,0.723042,0.529705,0.395634
deepconvnet,within_session,sub-001,ses-05,,,0,8.000000,68,17,9,5,0.222222,0.225000,0.222222,0.250000,1.174286,0.733473,0.484808
deepconvnet,within_session,sub-001,ses-05,,,0,9.000000,68,17,9,4,0.444444,0.400000,0.307692,0.650000,0.858854,0.601164,0.348568
deepconvnet,within_session,sub-002,ses-01,,,0,0.000000,65,17,10,27,1.000000,1.000000,1.000000,1.000000,0.117201,0.054188,0.099077
deepconvnet,within_session,sub-002,ses-01,,,0,1.000000,65,17,10,18,1.000000,1.000000,1.000000,1.000000,0.156104,0.064367,0.135771
deepconvnet,within_session,sub-002,ses-01,,,0,2.000000,66,17,9,15,1.000000,1.000000,1.000000,1.000000,0.112058,0.046554,0.096686
deepconvnet,within_session,sub-002,ses-01,,,0,3.000000,66,17,9,8,0.555556,0.600000,0.500000,0.850000,0.846297,0.499289,0.280715
deepconvnet,within_session,sub-002,ses-01,,,0,4.000000,66,17,9,22,0.777778,0.800000,0.775000,0.900000,0.805976,0.423471,0.254412
deepconvnet,within_session,sub-002,ses-01,,,0,5.000000,66,17,9,17,0.666667,0.675000,0.666667,0.900000,0.326711,0.236790,0.227190
deepconvnet,within_session,sub-002,ses-01,,,0,6.000000,66,17,9,52,0.888889,0.875000,0.883117,1.000000,0.292067,0.190492,0.106072
deepconvnet,within_session,sub-002,ses-01,,,0,7.000000,66,17,9,26,0.888889,0.875000,0.883117,0.900000,0.398947,0.254071,0.219773
deepconvnet,within_session,sub-002,ses-01,,,0,8.000000,66,17,9,50,0.777778,0.750000,0.750000,0.800000,0.565546,0.363276,0.267384
deepconvnet,within_session,sub-002,ses-01,,,0,9.000000,66,17,9,22,1.000000,1.000000,1.000000,1.000000,0.085468,0.026546,0.077733
deepconvnet,within_session,sub-002,ses-02,,,0,0.000000,68,17,10,20,0.500000,0.500000,0.333333,0.520000,1.017889,0.738799,0.345974
deepconvnet,within_session,sub-002,ses-02,,,0,1.000000,68,17,10,2,0.300000,0.300000,0.292929,0.200000,6.158571,0.873196,0.449993
deepconvnet,within_session,sub-002,ses-02,,,0,2.000000,68,17,10,3,0.500000,0.500000,0.333333,0.360000,0.754996,0.558072,0.242679
deepconvnet,within_session,sub-002,ses-02,,,0,3.000000,68,17,10,1,0.500000,0.500000,0.333333,0.080000,0.727325,0.533079,0.268767
deepconvnet,within_session,sub-002,ses-02,,,0,4.000000,68,17,10,6,0.500000,0.500000,0.333333,0.440000,0.719038,0.525166,0.093519
deepconvnet,within_session,sub-002,ses-02,,,0,5.000000,68,18,9,2,0.555556,0.500000,0.357143,0.200000,0.699670,0.506455,0.197054
deepconvnet,within_session,sub-002,ses-02,,,0,6.000000,68,18,9,1,0.555556,0.500000,0.357143,0.850000,0.679099,0.485994,0.253625
deepconvnet,within_session,sub-002,ses-02,,,0,7.000000,68,18,9,2,0.555556,0.500000,0.357143,0.800000,0.683967,0.490850,0.085813
deepconvnet,within_session,sub-002,ses-02,,,0,8.000000,68,18,9,93,0.444444,0.450000,0.444444,0.500000,0.741630,0.547187,0.199967
deepconvnet,within_session,sub-002,ses-02,,,0,9.000000,68,18,9,2,0.444444,0.475000,0.415584,0.650000,0.706809,0.512345,0.192362
deepconvnet,within_session,sub-002,ses-03,,,0,0.000000,72,18,10,1,0.600000,0.600000,0.583333,0.760000,0.639001,0.450464,0.288134
deepconvnet,within_session,sub-002,ses-03,,,0,1.000000,72,18,10,13,0.500000,0.500000,0.450549,0.720000,0.642224,0.475275,0.308229
deepconvnet,within_session,sub-002,ses-03,,,0,2.000000,72,18,10,2,0.600000,0.600000,0.600000,0.600000,0.735702,0.521764,0.273762
deepconvnet,within_session,sub-002,ses-03,,,0,3.000000,72,18,10,1,0.700000,0.700000,0.670330,0.840000,0.609312,0.417788,0.221552
deepconvnet,within_session,sub-002,ses-03,,,0,4.000000,72,18,10,2,0.400000,0.400000,0.400000,0.320000,0.853559,0.637902,0.248927
deepconvnet,within_session,sub-002,ses-03,,,0,5.000000,72,18,10,16,0.300000,0.300000,0.292929,0.440000,0.875414,0.653984,0.388200
deepconvnet,within_session,sub-002,ses-03,,,0,6.000000,72,18,10,3,0.300000,0.300000,0.292929,0.080000,1.105019,0.843074,0.455980
deepconvnet,within_session,sub-002,ses-03,,,0,7.000000,72,18,10,7,0.400000,0.375000,0.375000,0.375000,0.870738,0.640625,0.427224
deepconvnet,within_session,sub-002,ses-03,,,0,8.000000,72,18,10,1,0.400000,0.500000,0.285714,0.208333,0.850697,0.646230,0.238127
deepconvnet,within_session,sub-002,ses-03,,,0,9.000000,72,18,10,3,0.600000,0.666667,0.583333,0.416667,0.860638,0.642102,0.542971
deepconvnet,within_session,sub-002,ses-04,,,0,0.000000,72,18,10,1,0.500000,0.500000,0.333333,0.440000,0.726377,0.532602,0.144384
deepconvnet,within_session,sub-002,ses-04,,,0,1.000000,72,18,10,2,0.200000,0.200000,0.166667,0.360000,0.825354,0.624929,0.420870
deepconvnet,within_session,sub-002,ses-04,,,0,2.000000,72,18,10,3,0.600000,0.600000,0.523810,0.640000,0.714704,0.517936,0.210447
deepconvnet,within_session,sub-002,ses-04,,,0,3.000000,72,18,10,1,0.700000,0.700000,0.696970,0.680000,0.662209,0.469200,0.130978
deepconvnet,within_session,sub-002,ses-04,,,0,4.000000,72,18,10,2,0.700000,0.700000,0.670330,0.640000,0.634712,0.443795,0.198433
deepconvnet,within_session,sub-002,ses-04,,,0,5.000000,72,18,10,2,0.400000,0.400000,0.375000,0.520000,0.742684,0.555409,0.357175
deepconvnet,within_session,sub-002,ses-04,,,0,6.000000,72,18,10,1,0.500000,0.500000,0.494949,0.320000,0.746731,0.550095,0.239151
deepconvnet,within_session,sub-002,ses-04,,,0,7.000000,72,18,10,2,0.700000,0.700000,0.696970,0.760000,0.593395,0.404433,0.193314
