model,seed,accuracy,balanced_accuracy,macro_f1,auc,nll,brier,ece
deepconvnet,0,0.601624,0.602107,0.565449,0.633367,0.722647,0.473418,0.257881
deepconvnet,1,0.602884,0.603300,0.569843,0.638043,0.726569,0.472068,0.258318
deepconvnet,2,0.610484,0.610500,0.573963,0.644647,0.699620,0.459420,0.247914
deepconvnet,3,0.607671,0.608300,0.571058,0.635438,0.712659,0.468720,0.255102
deepconvnet,4,0.609315,0.608820,0.571132,0.634679,0.726683,0.473803,0.256267
eegnet,0,0.604374,0.604827,0.581766,0.632813,0.671536,0.448931,0.223282
eegnet,1,0.612901,0.612653,0.590414,0.643581,0.668969,0.446875,0.226579
eegnet,2,0.611889,0.611547,0.589588,0.635790,0.665446,0.444011,0.216999
eegnet,3,0.617546,0.617667,0.594578,0.638710,0.670976,0.448856,0.219612
eegnet,4,0.609586,0.609807,0.586719,0.639822,0.667439,0.448938,0.227473
fbcnet,0,0.546268,0.546033,0.516372,0.561607,0.763520,0.540520,0.321070
fbcnet,1,0.548878,0.548500,0.517938,0.570083,0.756870,0.536956,0.317254
fbcnet,2,0.562803,0.562013,0.533469,0.580653,0.747582,0.524832,0.310706
fbcnet,3,0.553576,0.553467,0.526374,0.573603,0.758064,0.535607,0.317324
fbcnet,4,0.555889,0.556400,0.526847,0.575031,0.757813,0.532626,0.318066
