model,session,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,auc_mean,auc_std,nll_mean,nll_std,brier_mean,brier_std,ece_mean,ece_std
deepconvnet,ses-01,5,0.605949,0.006619,0.605827,0.006309,0.568150,0.006600,0.639956,0.006560,0.710213,0.015995,0.466073,0.005059,0.246503,0.002794
deepconvnet,ses-02,5,0.606093,0.004775,0.606727,0.005404,0.572458,0.005129,0.638476,0.006377,0.727300,0.006568,0.471663,0.005484,0.255806,0.006286
deepconvnet,ses-03,5,0.598404,0.007762,0.597133,0.007646,0.559594,0.007611,0.626271,0.008657,0.732919,0.014400,0.483130,0.007261,0.265459,0.003413
deepconvnet,ses-04,5,0.617847,0.010497,0.619460,0.010674,0.582143,0.011034,0.648642,0.010726,0.706705,0.011348,0.456351,0.009033,0.247412,0.007856
deepconvnet,ses-05,5,0.603684,0.008096,0.603880,0.009160,0.569100,0.008267,0.632828,0.005553,0.711041,0.022029,0.470212,0.008784,0.260302,0.005307
eegnet,ses-01,5,0.609724,0.010500,0.609547,0.010257,0.586189,0.009704,0.637342,0.008422,0.664239,0.005583,0.449120,0.003057,0.226525,0.007969
eegnet,ses-02,5,0.610202,0.006711,0.611280,0.006755,0.585954,0.005835,0.633361,0.010325,0.672170,0.010194,0.450902,0.004588,0.219019,0.005252
eegnet,ses-03,5,0.600780,0.011162,0.599840,0.011105,0.576918,0.011670,0.631180,0.012490,0.683158,0.011945,0.457691,0.004603,0.227246,0.006708
eegnet,ses-04,5,0.620651,0.009600,0.620860,0.009347,0.599808,0.010264,0.643298,0.010631,0.662970,0.010791,0.437730,0.008290,0.221692,0.004323
eegnet,ses-05,5,0.614938,0.004063,0.614973,0.003988,0.594196,0.004697,0.645535,0.005015,0.661829,0.009528,0.442168,0.002296,0.219462,0.004497
fbcnet,ses-01,5,0.543119,0.003892,0.543260,0.004463,0.513889,0.004299,0.565816,0.003101,0.774494,0.004949,0.545550,0.003926,0.323673,0.004020
fbcnet,ses-02,5,0.568898,0.007393,0.568967,0.007682,0.540264,0.008524,0.586778,0.009851,0.733121,0.014998,0.516518,0.010300,0.304466,0.007176
fbcnet,ses-03,5,0.531220,0.008691,0.531380,0.008009,0.501389,0.010517,0.551065,0.009433,0.786010,0.005788,0.558253,0.004017,0.331602,0.002825
fbcnet,ses-04,5,0.570580,0.008509,0.570740,0.008309,0.544489,0.008325,0.595274,0.011167,0.734242,0.008682,0.514978,0.007522,0.304075,0.006036
fbcnet,ses-05,5,0.553598,0.009688,0.552067,0.009440,0.520970,0.010811,0.562043,0.008991,0.755982,0.005332,0.535242,0.006132,0.320604,0.004079
