method,training_scope,n_seeds,n_obs,acc_mean,acc_std,bacc_mean,bacc_std,f1_mean,f1_std,auc_mean,auc_std,nll_mean,nll_std,brier_mean,brier_std,ece_mean,ece_std
bn_statistics_adaptation,multi_source,5,705,0.7384184397163122,0.0016475590985912877,0.738418439716312,0.0016475590985912951,0.7324288965499319,0.001090354266218385,0.7952598581560283,0.0016082782394311957,0.6410583653123983,0.009883762319855171,0.36542903626546386,0.002724528477649066,0.12576235807237893,0.0021936534356594814
bn_statistics_adaptation,single_source,5,4320,0.6808668981481482,0.0025467471191817125,0.6808668981481482,0.0025467471191817125,0.6712884584757144,0.0027041345955055533,0.7343730092592592,0.002167163236959213,0.8369995243377397,0.008658668838880702,0.44813086504406263,0.0037918660003491665,0.1619747956646951,0.0019063287165920011
euclidean_alignment,multi_source,5,705,0.7197375886524823,0.005338809999301496,0.7197375886524823,0.005338809999301496,0.7055897612598734,0.006435386933758678,0.7825450354609929,0.0043527061239045884,0.683651313249101,0.016209960136111867,0.38591206350298635,0.008619425239603844,0.12852535028576,0.004286926160544792
euclidean_alignment,single_source,5,4320,0.6611203703703703,0.0046232719656703,0.6611203703703703,0.0046232719656703,0.636545471031747,0.0034948044115607176,0.7246955439814815,0.005530947671304091,0.8113390573201252,0.015039864173339293,0.4559112381513587,0.0056986136197836506,0.15019461394487704,0.0017490268307228214
filterbank_reweighting,multi_source,5,705,0.7245815602836879,0.004420630582819741,0.7245815602836879,0.004420630582819741,0.711447520606405,0.004260928120236896,0.7800209219858157,0.005276746675756445,0.6149711856275057,0.009311934459247414,0.3663230674427508,0.0038389137772918175,0.11665216573713515,0.002495811101734902
filterbank_reweighting,single_source,5,4320,0.6713530092592592,0.0018740402493379292,0.6713530092592592,0.0018740402493379292,0.6503565315566461,0.0019419467566688146,0.7288708333333334,0.0030150031113616647,0.7605525973278822,0.0032943823325938186,0.44202345422764716,0.0027532970417768494,0.1498267403873442,0.0018726044764249624
none_reference,multi_source,5,705,0.7343617021276596,0.00325144626616981,0.7343617021276596,0.00325144626616981,0.7207403122911122,0.0038127212677154044,0.7941566666666666,0.0018781113835702537,0.6359951773724446,0.012780547224470546,0.36640273851114646,0.0028091953378285555,0.12280144533578381,0.0027879498314536343
none_reference,single_source,5,4320,0.6732129629629628,0.0024985458519535095,0.6732129629629628,0.0024985458519535095,0.6549134821759259,0.0030522214394105556,0.7304716203703704,0.0020334091611443838,0.8604633243055554,0.007784668512840373,0.45526035925925923,0.003276082152132839,0.16112301574074073,0.001408519715520437
riemannian_alignment,multi_source,5,705,0.7212198581560283,0.006120801586538116,0.7212198581560283,0.00612080158653812,0.7084746046107335,0.0072737976129370885,0.7802384397163121,0.005801021824865412,0.612627865989686,0.011438219108100776,0.37212084583974003,0.007023219051943484,0.11604374674448725,0.004825241796744054
riemannian_alignment,single_source,5,4320,0.6636099537037037,0.0034870581966913615,0.6636099537037037,0.0034870581966913615,0.6461048485737516,0.002102656556065709,0.718295625,0.0052535233223904325,0.7380641116898644,0.00781176948814391,0.4440412763734346,0.0041557455904353505,0.13850992606469875,0.0015950880673150857
session_zscore,multi_source,5,705,0.7263829787234043,0.002041641837661547,0.7263829787234043,0.0020416418376615385,0.7121142257596608,0.0030188591122312794,0.7921864539007093,0.0013821281144824602,0.6697512325791127,0.013526294857854986,0.38098031042784736,0.003395415046809963,0.13372938662006498,0.002858879996873048
session_zscore,single_source,5,4320,0.6700706018518517,0.001473972761093571,0.6700706018518517,0.001473972761093571,0.6498273250749163,0.002024933199161113,0.7305034953703704,0.0020027540872390214,0.8282652499844078,0.013177513715523042,0.4577938945053691,0.004305314576312811,0.16225002474206737,0.003968474499124699
bn_statistics_adaptation,all,5,5025,0.6889412935323381,0.0023788345862549407,0.6889412935323381,0.0023788345862549407,0.679866370683142,0.00244636911051152,0.7429153432835822,0.0019854402163628844,0.8095092721759753,0.008608884667122988,0.4365279219019905,0.0035027009608954206,0.15689424471890745,0.0017890862796335826
euclidean_alignment,all,5,5025,0.6693442786069651,0.004632053369496193,0.6693442786069651,0.004632053369496193,0.6462322818995736,0.003637628224746195,0.7328117412935323,0.005363997840773311,0.793424657405683,0.013235702312724083,0.4460904584245721,0.0059647611904667455,0.1471544485956875,0.0017198023621923062
filterbank_reweighting,all,5,5025,0.678820895522388,0.0019161373610925357,0.678820895522388,0.0019161373610925357,0.6589275061397467,0.0020385377293207396,0.7360471144278607,0.003102071958766505,0.7401277425520085,0.00268183538758056,0.4314028029473781,0.0027543420974426454,0.1451723970782104,0.0016904090935128417
none_reference,all,5,5025,0.681792039800995,0.0022101704335218547,0.681792039800995,0.0022101704335218547,0.6641488881920863,0.0027533383927833767,0.7394065373134328,0.0019450180230838649,0.828970778317925,0.007644333419172822,0.44279376769161355,0.0030296154937472664,0.155746556609299,0.0014272324813755651
riemannian_alignment,all,5,5025,0.6716925373134328,0.003452431488974067,0.6716925373134328,0.003452431488974067,0.654855232256552,0.0024021992150816637,0.7269861094527362,0.005181361237843131,0.7204655936364066,0.007693422133286463,0.4339509473134835,0.0042731388041189625,0.135357954637684,0.0013811369875872514
session_zscore,all,5,5025,0.6779711442786069,0.0011840436467637442,0.6779711442786069,0.0011840436467637442,0.6585660842754626,0.0018678128088781218,0.7391575223880598,0.001707193865582015,0.8060259699305306,0.011005520120600491,0.4470170633064332,0.00351039544800095,0.15824862178166704,0.0034897045214388168
