method,drift_level,gain_acc_mean,gain_acc_std,n
bn_statistics_adaptation,high,0.004877192982456143,0.07525798893080324,1710
bn_statistics_adaptation,moderate,0.00756535947712418,0.05432597854706657,1530
bn_statistics_adaptation,stable,0.008969187675070028,0.036038822064661954,1785
euclidean_alignment,high,-0.006637426900584791,0.09571178699662235,1710
euclidean_alignment,moderate,-0.014068627450980396,0.09121427705606439,1530
euclidean_alignment,stable,-0.01662464985994398,0.07627481039937663,1785
filterbank_reweighting,high,-0.02443567251461988,0.11954842482068706,1710
filterbank_reweighting,moderate,0.005192810457516338,0.09665892825458194,1530
filterbank_reweighting,stable,0.010593837535014005,0.09904949201198532,1785
riemannian_alignment,high,-0.004388888888888886,0.08951918371667328,1710
riemannian_alignment,moderate,-0.011754901960784315,0.0878850514496237,1530
riemannian_alignment,stable,-0.01415126050420168,0.07614315332331502,1785
session_zscore,high,-0.005116959064327483,0.08156072168237595,1710
session_zscore,moderate,-0.0009575163398692824,0.0725704017059885,1530
session_zscore,stable,-0.005033613445378153,0.06355079878690459,1785
