method,training_scope,gain_acc_mean,gain_acc_std
bn_statistics_adaptation,multi_source,0.00405673758865248,0.0036724476698425535
bn_statistics_adaptation,single_source,0.007653935185185185,0.0014895219544032166
euclidean_alignment,multi_source,-0.014624113475177308,0.0065159803637364205
euclidean_alignment,single_source,-0.01209259259259259,0.0033127529457349075
filterbank_reweighting,multi_source,-0.009780141843971631,0.006317154686871318
filterbank_reweighting,single_source,-0.001859953703703704,0.004138234477974039
riemannian_alignment,multi_source,-0.013141843971631206,0.0060646384927947146
riemannian_alignment,single_source,-0.009603009259259259,0.0022422531997192538
session_zscore,multi_source,-0.007978723404255319,0.004286308554466573
session_zscore,single_source,-0.003142361111111111,0.001500277493122531
bn_statistics_adaptation,all,0.007149253731343283,0.001248959369810698
euclidean_alignment,all,-0.01244776119402985,0.0037488362756260725
filterbank_reweighting,all,-0.002971144278606965,0.003959176034781012
riemannian_alignment,all,-0.01009950248756219,0.002725069596693649
session_zscore,all,-0.00382089552238806,0.0014749880382992646
