training_scope,protocol,model,train_sessions,test_session,n_seeds,n_subjects,mean_acc,std_acc,mean_bacc,std_bacc,mean_f1,std_f1,mean_auc,std_auc
multi_source,multisource_0102_to_03,deepconvnet,ses-01+ses-02,ses-03,5,47,0.7564042553191489,0.15662351554872125,0.7564042553191489,0.15662351554872125,0.747181374197121,0.1706541146003177,0.8174848936170213,0.16472035845913954
multi_source,multisource_0102_to_03,eegnet,ses-01+ses-02,ses-03,5,47,0.7716595744680851,0.1587222317858025,0.7716595744680851,0.1587222317858025,0.7662657385076757,0.16668184359757254,0.825814255319149,0.17115910127021244
multi_source,multisource_0102_to_03,fbcnet,ses-01+ses-02,ses-03,5,47,0.6750212765957446,0.15482792893906422,0.6750212765957446,0.15482792893906425,0.6487738241685399,0.18147155532477957,0.7391708510638298,0.1769493083506356
single_source,single_source_directed_pair,deepconvnet,ses-01,ses-02,5,47,0.6786170212765957,0.1470409782396988,0.6786170212765957,0.1470409782396988,0.6622387361702128,0.16538014417408514,0.7443208510638298,0.17183780022085554
single_source,single_source_directed_pair,deepconvnet,ses-01,ses-03,5,48,0.6757083333333332,0.14429209077993757,0.6757083333333332,0.14429209077993757,0.6561191958333333,0.16642140070016034,0.7402372916666666,0.16217007974531175
single_source,single_source_directed_pair,deepconvnet,ses-02,ses-01,5,47,0.6782553191489361,0.1468782663699506,0.6782553191489361,0.1468782663699506,0.6684614,0.15613143985284667,0.7330838297872341,0.1656069612470297
single_source,single_source_directed_pair,deepconvnet,ses-02,ses-03,5,49,0.7210816326530612,0.1510575881845834,0.7210816326530612,0.1510575881845834,0.710792281632653,0.16458666941218222,0.7802883673469387,0.16645850365765774
single_source,single_source_directed_pair,deepconvnet,ses-03,ses-01,5,48,0.6516458333333334,0.14054101823607953,0.6516458333333334,0.14054101823607953,0.6341675958333333,0.1571777600820725,0.7063349999999999,0.16110079800284918
single_source,single_source_directed_pair,deepconvnet,ses-03,ses-02,5,49,0.6803877551020407,0.14779441529946344,0.6803877551020407,0.14779441529946344,0.6654808775510204,0.1619077024718541,0.7405969387755101,0.17283910841698238
single_source,single_source_directed_pair,eegnet,ses-01,ses-02,5,47,0.713936170212766,0.15524772102258363,0.713936170212766,0.15524772102258363,0.7071287234042554,0.16385055829670253,0.767701914893617,0.1736700579992498
single_source,single_source_directed_pair,eegnet,ses-01,ses-03,5,48,0.699125,0.16061357573784688,0.699125,0.16061357573784688,0.6902427375,0.17097293964606017,0.7517447916666666,0.18245526913264534
single_source,single_source_directed_pair,eegnet,ses-02,ses-01,5,47,0.7071702127659575,0.15621242374136285,0.7071702127659575,0.15621242374136285,0.7052829404255319,0.15763472081982802,0.7525163829787235,0.17365831128610457
single_source,single_source_directed_pair,eegnet,ses-02,ses-03,5,49,0.7492244897959184,0.1553895508473655,0.7492244897959184,0.1553895508473655,0.7458669183673469,0.15920513606997386,0.8012779591836734,0.17015614491271164
single_source,single_source_directed_pair,eegnet,ses-03,ses-01,5,48,0.68075,0.1474683853786718,0.68075,0.1474683853786718,0.6742295375,0.15484550343738376,0.7249870833333334,0.16532287434669296
single_source,single_source_directed_pair,eegnet,ses-03,ses-02,5,49,0.7122040816326531,0.1530825315268918,0.7122040816326531,0.1530825315268918,0.7055770408163266,0.16152364697817298,0.7643814285714285,0.1681150757690091
single_source,single_source_directed_pair,fbcnet,ses-01,ses-02,5,47,0.616872340425532,0.12974870798251317,0.616872340425532,0.12974870798251317,0.5761787659574468,0.16507167643629148,0.6751463829787234,0.1597303040762148
single_source,single_source_directed_pair,fbcnet,ses-01,ses-03,5,48,0.6141666666666666,0.14101593923578112,0.6141666666666666,0.14101593923578112,0.5692851375,0.17499227535554457,0.6750608333333333,0.16662297250328312
single_source,single_source_directed_pair,fbcnet,ses-02,ses-01,5,47,0.6318085106382978,0.13872752583026193,0.6318085106382978,0.13872752583026193,0.5994944553191489,0.16856115048095371,0.6925710638297872,0.1584285917662414
single_source,single_source_directed_pair,fbcnet,ses-02,ses-03,5,49,0.6483673469387755,0.14585596615783,0.6483673469387755,0.14585596615783,0.6212733714285714,0.17188507975907516,0.7076618367346938,0.17344661909328543
single_source,single_source_directed_pair,fbcnet,ses-03,ses-01,5,48,0.6172291666666666,0.12676094187185535,0.6172291666666666,0.12676094187185535,0.5841334625,0.15524095280638062,0.6800558333333334,0.16078670929629707
single_source,single_source_directed_pair,fbcnet,ses-03,ses-02,5,49,0.6387142857142858,0.13751780808674782,0.6387142857142858,0.13751780808674782,0.6095773591836735,0.162737159726316,0.7076767346938775,0.16865002682084318
