model,subject,single_best_train_sessions,single_best_acc,multisource_acc,gain,ses01_within_acc,ses02_within_acc,ses03_within_acc,drift_level,drift_score
deepconvnet,sub-001,ses-02,0.915,0.933,0.018000000000000016,0.679,0.907,0.887,stable,-0.444671
deepconvnet,sub-002,ses-02,0.652,0.652,0.0,0.594,0.548,0.691,moderate,-0.242976
deepconvnet,sub-003,ses-01,0.861,0.9390000000000001,0.07800000000000007,0.83,0.8029999999999999,0.847,moderate,-0.231727
deepconvnet,sub-004,ses-01,0.507,0.479,-0.028000000000000025,0.47,0.505,0.527,moderate,0.021872
deepconvnet,sub-005,ses-01,0.609,0.674,0.06500000000000006,0.86,0.773,0.5589999999999999,stable,-1.084483
deepconvnet,sub-006,ses-01,0.916,0.942,0.025999999999999912,0.87,0.951,0.964,moderate,-0.063075
deepconvnet,sub-007,ses-02,0.8640000000000001,0.885,0.020999999999999908,0.603,0.8059999999999999,0.865,high,0.110273
deepconvnet,sub-008,ses-02,0.8019999999999999,0.796,-0.005999999999999894,0.608,0.79,0.89,moderate,-0.281448
deepconvnet,sub-009,ses-01,0.585,0.612,0.027000000000000024,0.708,0.6559999999999999,0.536,stable,-0.323885
deepconvnet,sub-010,ses-02,0.524,0.536,0.01200000000000001,0.65,0.8690000000000001,0.636,moderate,-0.304098
deepconvnet,sub-011,ses-01,0.9039999999999999,0.851,-0.052999999999999936,0.9329999999999999,0.747,0.975,stable,-0.355012
deepconvnet,sub-012,ses-01,0.5429999999999999,0.518,-0.02499999999999991,0.49300000000000005,0.44,0.562,moderate,-0.293627
deepconvnet,sub-013,ses-02,0.736,0.756,0.020000000000000018,0.7170000000000001,0.82,0.7709999999999999,high,1.321363
deepconvnet,sub-014,ses-01,0.517,0.503,-0.014000000000000012,0.517,0.5,0.498,high,0.735637
deepconvnet,sub-015,ses-01,0.605,0.599,-0.006000000000000005,0.674,0.6759999999999999,0.56,high,0.518046
deepconvnet,sub-016,ses-02,0.55,0.5349999999999999,-0.015000000000000124,0.7020000000000001,0.5870000000000001,0.519,stable,-0.899544
