protocol,training_scope,model,seed,subject,train_sessions,test_session,acc,bacc,f1,auc,nll,brier,ece,n_train,n_val,n_test,checkpoint_path,source_run_id
single_source_directed_pair,single_source,deepconvnet,0,sub-001,ses-01,ses-02,0.51,0.51,0.441595,0.4582,0.720996,0.526074,0.121035,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-001_ses-01-to-ses-02_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-001,ses-01,ses-03,0.505,0.505,0.442426,0.5304,0.695276,0.501305,0.080331,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-001_ses-01-to-ses-03_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-001,ses-02,ses-01,0.625,0.625,0.62082,0.64615,1.656082,0.633392,0.285797,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-001_ses-02-to-ses-01_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-001,ses-02,ses-03,0.85,0.85,0.84994,0.9437,0.34034,0.202258,0.068845,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-001_ses-02-to-ses-03_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-001,ses-03,ses-01,0.665,0.665,0.66432,0.7265,1.380854,0.563898,0.270011,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-001_ses-03-to-ses-01_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-001,ses-03,ses-02,0.905,0.905,0.904998,0.9703,0.26302,0.132268,0.065299,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-001_ses-03-to-ses-02_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-002,ses-01,ses-02,0.6,0.6,0.597424,0.6131,0.763239,0.524156,0.136212,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-002_ses-01-to-ses-02_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-002,ses-01,ses-03,0.6,0.6,0.595101,0.6615,0.696507,0.484686,0.102958,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-002_ses-01-to-ses-03_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-002,ses-02,ses-01,0.495,0.495,0.477104,0.4968,0.761724,0.55562,0.154297,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-002_ses-02-to-ses-01_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-002,ses-02,ses-03,0.59,0.59,0.572917,0.6207,0.685315,0.489784,0.067708,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-002_ses-02-to-ses-03_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-002,ses-03,ses-01,0.63,0.63,0.629073,0.6952,0.74833,0.488335,0.156088,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-002_ses-03-to-ses-01_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-002,ses-03,ses-02,0.62,0.62,0.618129,0.675,0.857174,0.5067,0.145495,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-002_ses-03-to-ses-02_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-003,ses-01,ses-02,0.775,0.775,0.770823,0.867,0.726191,0.362252,0.146659,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-003_ses-01-to-ses-02_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-003,ses-01,ses-03,0.805,0.805,0.804173,0.8593,0.952169,0.322583,0.119663,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-003_ses-01-to-ses-03_seed0.pt,session_model_compare_v1
single_source_directed_pair,single_source,deepconvnet,0,sub-003,ses-02,ses-01,0.775,0.775,0.774317,0.8502,1.195661,0.393067,0.189585,160,40,200,checkpoints/session_model_compare_v1/deepconvnet/cross_sub-003_ses-02-to-ses-01_seed0.pt,session_model_compare_v1
