relationship,x_metric,y_metric,model,prototype_type,distance,n,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,deepconvnet,confidence_weighted,cosine,2500,0.09488843279142234,2.0064284741460337e-06,0.08062424033169263,5.44241989662662e-05,0.056858991909862745,0.09562257115501228,0.009003814677612272
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,eegnet,confidence_weighted,cosine,2500,-0.09574507472907107,1.6196176721039856e-06,-0.10476963827744766,1.5183792184152887e-07,-0.0616574982843652,0.1500144052171313,0.0091671193348754
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,fbcnet,confidence_weighted,cosine,2500,0.23364956463955466,2.3987279447442583e-32,0.2733228005561056,4.447139562723942e-44,0.05768256878358164,0.0627326394038385,0.05459211905625338
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,ALL,confidence_weighted,cosine,7500,0.09617310160190887,7.013754544291192e-17,0.11464250412101908,2.2914750123313852e-23,0.03427436373017305,0.08728268660496187,0.009249265471731077
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,deepconvnet,confidence_weighted,euclidean,2500,0.0397510638938493,0.046884216652354135,0.3781360565769834,8.428877140310538e-86,4.703347122169178e-05,0.11133310320379416,0.001580147080692888
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,eegnet,confidence_weighted,euclidean,2500,0.0904702867103969,5.883169905802093e-06,0.4947886955617874,1.5709923003287823e-154,8.115167402577707e-05,0.10500451844128124,0.008184872777461426
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,fbcnet,confidence_weighted,euclidean,2500,-0.008033877524159887,0.6880524342377395,0.009371504630265946,0.6395334785159685,-3.5758249660552064e-05,0.09748159848542198,6.454318807320121e-05
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,ALL,confidence_weighted,euclidean,7500,0.04998902566786377,1.4832394593253895e-05,0.17294536688340026,1.917829873873315e-51,5.9425649873772723e-05,0.10268101567329159,0.0024989026872223427
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,deepconvnet,correct_only,cosine,2239,-0.04496437744124739,0.033377268519173435,-0.09760894782736461,3.7074889736958306e-06,-0.03081662689982554,0.12531796019376643,0.0020217952386789566
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,eegnet,correct_only,cosine,2418,-0.2978669154892152,9.799743855899915e-51,-0.3171740384846317,1.2103412577592443e-57,-0.2091571005638251,0.23630132885729835,0.08872469934305922
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,fbcnet,correct_only,cosine,1920,0.17604013134917315,7.884732328870905e-15,0.23777903405667414,4.374393349619449e-26,0.04578338099157496,0.05982481965603148,0.030990127845434135
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,ALL,correct_only,cosine,6577,-0.025757125739251447,0.036724016745775,-0.008231664820296442,0.5044772161775535,-0.010426632114987889,0.1093632106968995,0.0006634295263476071
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,deepconvnet,correct_only,euclidean,2239,0.01676191276999604,0.4279210548520772,0.2993538232439786,1.3912754499574522e-47,4.733819062903913e-06,0.11708933130112294,0.00028096171970895664
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,eegnet,correct_only,euclidean,2418,0.0658464711142999,0.0011964659076597723,0.4758797738706469,6.582246649222246e-137,3.535262835180346e-05,0.10759281942406781,0.00433575775820633
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,fbcnet,correct_only,euclidean,1920,-0.061731304019638944,0.006815045563243298,-0.03902690542506175,0.08733783979486322,-0.0002900860655134625,0.10168636524732055,0.0038107538959650878
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,ALL,correct_only,euclidean,6577,0.025214783047306285,0.04087234457014406,0.1488142599199114,6.978368381717109e-34,1.0517223431495264e-05,0.10403694940514413,0.0006357852841227246
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,deepconvnet,label_based,cosine,2500,0.10322185457340188,2.3118960305368416e-07,0.0889384840329517,8.44707499753931e-06,0.062035708593223826,0.09495155476451045,0.010654751261572537
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,eegnet,label_based,cosine,2500,-0.09019740852279276,6.277406423748688e-06,-0.09991600095304645,5.56212161832411e-07,-0.05634567910681881,0.1457845458877398,0.008135572504227565
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,fbcnet,label_based,cosine,2500,0.23542113349104254,7.938722059813195e-33,0.27584446624408365,6.787459273938366e-45,0.05831056591501556,0.0626501751790342,0.05542311009420724
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,ALL,label_based,cosine,7500,0.09809087543445667,1.6797426946342224e-17,0.11853051954662623,7.071141799225834e-25,0.034856098353278825,0.0873127670252031,0.009621819843498088
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,deepconvnet,label_based,euclidean,2500,0.04617798881765943,0.020944887969319904,0.38267290627431394,5.389143432132521e-88,5.830033171002409e-05,0.11120687055770735,0.002132406651243876
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,eegnet,label_based,euclidean,2500,0.09438556454168115,2.2732935306271355e-06,0.5023757302894196,5.345879926273814e-160,8.88038482437366e-05,0.10504605003021532,0.008908634793851844
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,fbcnet,label_based,euclidean,2500,-0.006775287300137557,0.7349119642400018,0.01050892173439513,0.5994456909749986,-3.0336657268867515e-05,0.09712360928658204,4.590451799940518e-05
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,ALL,label_based,euclidean,7500,0.053279647971295405,3.899599615983383e-06,0.1771181769659557,6.592032823189946e-54,6.66126738802483e-05,0.10253773931838395,0.0028387208879451617
