relationship,x_metric,y_metric,model,prototype_type,distance,n,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,deepconvnet,confidence_weighted,cosine,1440,0.40210101505196505,4.434240035097874e-57,0.46399334653976526,8.940377482954507e-78,0.36906031624987246,0.0815221765460356,0.16168522630582075
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,eegnet,confidence_weighted,cosine,1440,0.38684673697347427,1.3012499680601777e-52,0.3915357120154123,5.834965289443837e-54,0.28536321261291026,0.0057938114255843,0.14965039790702442
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,fbcnet,confidence_weighted,cosine,1440,0.2979410008704477,6.587921500570948e-31,0.29529535136082763,2.2904983026652865e-30,0.08139831529437888,0.07692887515199705,0.08876883999968413
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,ALL,confidence_weighted,cosine,4320,0.25313558822031657,3.8570586864505505e-64,0.27353971858566595,5.301892993718014e-75,0.10437518692436772,0.0817163776020052,0.0640776260236457
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,deepconvnet,confidence_weighted,euclidean,1440,0.035817982179678055,0.17432017167073643,0.496080532019982,2.61093382838222e-90,8.947875542309704e-05,0.11973113766971341,0.0012829278474237337
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,eegnet,confidence_weighted,euclidean,1440,0.04079786372522215,0.12174997245702616,0.5654275102063202,1.895884053368312e-122,8.715234122352227e-05,0.10511052721520653,0.0016644656845417973
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,fbcnet,confidence_weighted,euclidean,1440,0.2725033239440713,6.168754161947968e-26,0.2805668876981697,1.8613681675756982e-27,0.0019726190407765576,0.06854362494616958,0.0742580615605674
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,ALL,confidence_weighted,euclidean,4320,0.05832968974804241,0.00012506708300261788,0.35633691766786285,1.611589365487123e-129,0.00015144354505096228,0.11187448944159908,0.0034023527061028853
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,deepconvnet,correct_only,cosine,1429,0.38754884239690834,2.014914545285167e-52,0.39678098450521193,4.390064301887937e-55,0.46045741564389503,0.08145792940360974,0.15019410524318366
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,eegnet,correct_only,cosine,1431,0.3304631542201446,8.29255876880564e-38,0.34112374365301035,2.517744285796402e-40,0.27784167451992436,0.021448898261459348,0.10920589629712726
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,fbcnet,correct_only,cosine,1395,0.3076823429890883,5.693727424092202e-32,0.2939882822846218,3.275705531438961e-29,0.08790416607525922,0.07128053317056915,0.09466842418725495
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,ALL,correct_only,cosine,4255,0.22098583141876477,3.1811207909286044e-48,0.23638842468744398,4.055742415897839e-55,0.09786918716231974,0.08550821739647947,0.04883473768784272
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,deepconvnet,correct_only,euclidean,1429,0.04064906206238339,0.12456028362525616,0.44566114272336466,1.1629882557970099e-70,7.209645087779323e-05,0.12022506756701974,0.0016523462465514954
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,eegnet,correct_only,euclidean,1431,0.05743162332445422,0.02982171065376093,0.548460708081429,3.53308560285549e-113,0.00012804178706154817,0.10530282226080649,0.003298391357681998
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,fbcnet,correct_only,euclidean,1395,0.27688008712050793,5.720921028130135e-26,0.25783912848565455,1.273643095908341e-22,0.0021212397439302737,0.06258879084819036,0.07666258264386007
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,ALL,correct_only,euclidean,4255,0.06070059439727451,7.43208337567624e-05,0.3299663471290868,1.2878519595033365e-108,0.00013605480094371593,0.11121912761698478,0.003684562160182429
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,deepconvnet,label_based,cosine,1440,0.40488254858493883,6.406710821140895e-58,0.45460942030289486,2.353112983188631e-74,0.3791743219211665,0.08204227410268045,0.16392987814863552
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,eegnet,label_based,cosine,1440,0.3950675035823913,5.444211014682073e-55,0.39720968265514395,1.2734947938268083e-55,0.2960329782586322,0.0032773080917015973,0.1560783323868228
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,fbcnet,label_based,cosine,1440,0.3002902468987223,2.1548724884764524e-31,0.29749696575213785,8.127843736841479e-31,0.08228825473618219,0.07672370317229517,0.0901742323824956
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,ALL,label_based,cosine,4320,0.25443021396185206,8.423843307165385e-65,0.27240529486373055,2.257836992583297e-74,0.10535902390062538,0.08179853985998026,0.06473473377667383
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,deepconvnet,label_based,euclidean,1440,0.045761124032447295,0.08257904809775414,0.4869894797771243,1.2725269353860649e-86,0.00013282358246368542,0.1192879205309911,0.0020940804727130253
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,eegnet,label_based,euclidean,1440,0.04616100935737442,0.079928783245121,0.5579542184855191,1.2986679806138604e-118,0.00010826743006231599,0.10492402304874678,0.00213083878489161
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,fbcnet,label_based,euclidean,1440,0.2751458983690276,1.9840341709584045e-26,0.28192304517665834,1.0212119443474993e-27,0.0020135357890317986,0.06782563457961507,0.07570526538929928
prototype_drift_mean_vs_acc_drop,prototype_drift_mean,acc_drop,ALL,label_based,euclidean,4320,0.06715972469604622,9.96652307475637e-06,0.35238669268866046,1.637198979898386e-126,0.0001944394755490506,0.11127587985735189,0.004510428621248726
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,deepconvnet,confidence_weighted,cosine,1440,-0.3305668075585965,4.64713326968208e-38,-0.28800484905496126,6.637162055496967e-29,-0.12305778575802424,0.19366905051669867,0.1092744142594823
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,eegnet,confidence_weighted,cosine,1440,-0.4095258081713893,2.4332778089002673e-59,-0.3599334430793191,2.75312360125471e-45,-0.1762238755411825,0.19325820554009343,0.16771138755842968
