Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods bn_statistics_adaptation --models deepconvnet --seeds 2 --protocols single,multi --tag-suffix bn_statistics_adaptation_deepconvnet_s2
Node   : gpu01 | Start: Tue Jun  9 12:56:15 CST 2026
Tue Jun  9 12:56:16 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:01:00.0 Off |                  Off |
| 34%   44C    P0             50W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 12:56:19 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 12:56:19 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['bn_statistics_adaptation'] | models=['deepconvnet'] | seeds=[2] | groups=['single', 'multi'] | tasks=335
2026-06-09 12:56:28 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-001_ses01-to-ses02 seed=2 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 12:56:36 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-001_ses01-to-ses03 seed=2 acc=0.6650 (ntr=160 nval=40 nte=200)
2026-06-09 12:56:52 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-001_ses02-to-ses01 seed=2 acc=0.6350 (ntr=160 nval=40 nte=200)
2026-06-09 12:57:07 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-001_ses02-to-ses03 seed=2 acc=0.9450 (ntr=160 nval=40 nte=200)
2026-06-09 12:57:15 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-001_ses03-to-ses01 seed=2 acc=0.7050 (ntr=160 nval=40 nte=200)
2026-06-09 12:57:23 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-001_ses03-to-ses02 seed=2 acc=0.8150 (ntr=160 nval=40 nte=200)
2026-06-09 12:57:28 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-002_ses01-to-ses02 seed=2 acc=0.5950 (ntr=160 nval=40 nte=200)
2026-06-09 12:57:34 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-002_ses01-to-ses03 seed=2 acc=0.6150 (ntr=160 nval=40 nte=200)
2026-06-09 12:57:40 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-002_ses02-to-ses01 seed=2 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 12:57:46 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-002_ses02-to-ses03 seed=2 acc=0.6450 (ntr=160 nval=40 nte=200)
2026-06-09 12:57:58 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-002_ses03-to-ses01 seed=2 acc=0.5900 (ntr=160 nval=40 nte=200)
2026-06-09 12:58:09 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-002_ses03-to-ses02 seed=2 acc=0.6250 (ntr=160 nval=40 nte=200)
2026-06-09 12:58:23 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-003_ses01-to-ses02 seed=2 acc=0.8250 (ntr=160 nval=40 nte=200)
2026-06-09 12:58:37 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-003_ses01-to-ses03 seed=2 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 12:58:57 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-003_ses02-to-ses01 seed=2 acc=0.8150 (ntr=160 nval=40 nte=200)
2026-06-09 12:59:15 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-003_ses02-to-ses03 seed=2 acc=0.7050 (ntr=160 nval=40 nte=200)
2026-06-09 12:59:29 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-003_ses03-to-ses01 seed=2 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 12:59:42 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-003_ses03-to-ses02 seed=2 acc=0.6000 (ntr=160 nval=40 nte=200)
2026-06-09 12:59:47 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-004_ses01-to-ses02 seed=2 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 12:59:52 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-004_ses01-to-ses03 seed=2 acc=0.5300 (ntr=160 nval=40 nte=200)
2026-06-09 12:59:57 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-004_ses02-to-ses01 seed=2 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 13:00:02 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-004_ses02-to-ses03 seed=2 acc=0.4550 (ntr=160 nval=40 nte=200)
2026-06-09 13:00:07 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-004_ses03-to-ses01 seed=2 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 13:00:12 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-004_ses03-to-ses02 seed=2 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 13:00:32 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-005_ses01-to-ses02 seed=2 acc=0.8400 (ntr=160 nval=40 nte=200)
2026-06-09 13:00:52 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-005_ses01-to-ses03 seed=2 acc=0.6100 (ntr=160 nval=40 nte=200)
