Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods euclidean_alignment --models deepconvnet --seeds 2 --protocols single,multi --tag-suffix euclidean_alignment_deepconvnet_s2
Node   : gpu01 | Start: Tue Jun  9 06:07:06 CST 2026
Tue Jun  9 06:07:06 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:21:00.0 Off |                  Off |
| 30%   43C    P0             65W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 06:07:09 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 06:07:09 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['euclidean_alignment'] | models=['deepconvnet'] | seeds=[2] | groups=['single', 'multi'] | tasks=335
2026-06-09 06:07:17 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-001_ses01-to-ses02 seed=2 acc=0.5850 (ntr=160 nval=40 nte=200)
2026-06-09 06:07:23 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-001_ses01-to-ses03 seed=2 acc=0.7150 (ntr=160 nval=40 nte=200)
2026-06-09 06:07:30 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-001_ses02-to-ses01 seed=2 acc=0.6150 (ntr=160 nval=40 nte=200)
2026-06-09 06:07:36 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-001_ses02-to-ses03 seed=2 acc=0.7200 (ntr=160 nval=40 nte=200)
2026-06-09 06:07:46 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-001_ses03-to-ses01 seed=2 acc=0.6800 (ntr=160 nval=40 nte=200)
2026-06-09 06:07:55 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-001_ses03-to-ses02 seed=2 acc=0.7450 (ntr=160 nval=40 nte=200)
2026-06-09 06:08:01 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-002_ses01-to-ses02 seed=2 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 06:08:07 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-002_ses01-to-ses03 seed=2 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 06:08:13 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-002_ses02-to-ses01 seed=2 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 06:08:19 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-002_ses02-to-ses03 seed=2 acc=0.5900 (ntr=160 nval=40 nte=200)
2026-06-09 06:08:26 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-002_ses03-to-ses01 seed=2 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 06:08:32 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-002_ses03-to-ses02 seed=2 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 06:08:40 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-003_ses01-to-ses02 seed=2 acc=0.5850 (ntr=160 nval=40 nte=200)
2026-06-09 06:08:47 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-003_ses01-to-ses03 seed=2 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 06:08:53 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-003_ses02-to-ses01 seed=2 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 06:08:59 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-003_ses02-to-ses03 seed=2 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 06:09:11 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-003_ses03-to-ses01 seed=2 acc=0.5950 (ntr=160 nval=40 nte=200)
2026-06-09 06:09:23 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-003_ses03-to-ses02 seed=2 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 06:09:29 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-004_ses01-to-ses02 seed=2 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 06:09:36 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-004_ses01-to-ses03 seed=2 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 06:09:42 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-004_ses02-to-ses01 seed=2 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 06:09:48 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-004_ses02-to-ses03 seed=2 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 06:09:54 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-004_ses03-to-ses01 seed=2 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 06:10:00 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-004_ses03-to-ses02 seed=2 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 06:10:06 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-005_ses01-to-ses02 seed=2 acc=0.6950 (ntr=160 nval=40 nte=200)
2026-06-09 06:10:12 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-005_ses01-to-ses03 seed=2 acc=0.5950 (ntr=160 nval=40 nte=200)
2026-06-09 06:10:18 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-005_ses02-to-ses01 seed=2 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 06:10:24 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-005_ses02-to-ses03 seed=2 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 06:10:30 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-005_ses03-to-ses01 seed=2 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 06:10:36 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-005_ses03-to-ses02 seed=2 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 06:10:43 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-006_ses01-to-ses02 seed=2 acc=0.8500 (ntr=160 nval=40 nte=200)
2026-06-09 06:10:49 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-006_ses01-to-ses03 seed=2 acc=0.8900 (ntr=160 nval=40 nte=200)
2026-06-09 06:10:56 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-006_ses02-to-ses01 seed=2 acc=0.7800 (ntr=160 nval=40 nte=200)
2026-06-09 06:11:02 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-006_ses02-to-ses03 seed=2 acc=0.7900 (ntr=160 nval=40 nte=200)
2026-06-09 06:11:11 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-006_ses03-to-ses01 seed=2 acc=0.7350 (ntr=160 nval=40 nte=200)
2026-06-09 06:11:21 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-006_ses03-to-ses02 seed=2 acc=0.6850 (ntr=160 nval=40 nte=200)
2026-06-09 06:11:26 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-007_ses01-to-ses02 seed=2 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 06:11:32 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-007_ses01-to-ses03 seed=2 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 06:11:38 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-007_ses02-to-ses01 seed=2 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 06:11:45 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-007_ses02-to-ses03 seed=2 acc=0.8050 (ntr=160 nval=40 nte=200)
2026-06-09 06:11:51 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-007_ses03-to-ses01 seed=2 acc=0.6600 (ntr=160 nval=40 nte=200)
2026-06-09 06:11:58 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-007_ses03-to-ses02 seed=2 acc=0.7700 (ntr=160 nval=40 nte=200)
2026-06-09 06:12:05 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-008_ses01-to-ses02 seed=2 acc=0.5950 (ntr=160 nval=40 nte=200)
