Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods filterbank_reweighting --models fbcnet --seeds 4 --protocols single,multi --tag-suffix filterbank_reweighting_fbcnet_s4
Node   : gpu01 | Start: Tue Jun  9 18:22:47 CST 2026
Tue Jun  9 18:22:48 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:41:00.0 Off |                  Off |
| 40%   45C    P0             59W /  425W |       1MiB /  24564MiB |     12%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 18:22:51 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 18:22:51 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['filterbank_reweighting'] | models=['fbcnet'] | seeds=[4] | groups=['single', 'multi'] | tasks=335
2026-06-09 18:23:03 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-001_ses01-to-ses02 seed=4 acc=0.6350 (ntr=160 nval=40 nte=200)
2026-06-09 18:23:13 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-001_ses01-to-ses03 seed=4 acc=0.5550 (ntr=160 nval=40 nte=200)
2026-06-09 18:23:29 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-001_ses02-to-ses01 seed=4 acc=0.6400 (ntr=160 nval=40 nte=200)
2026-06-09 18:23:44 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-001_ses02-to-ses03 seed=4 acc=0.7700 (ntr=160 nval=40 nte=200)
2026-06-09 18:23:53 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-001_ses03-to-ses01 seed=4 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 18:24:02 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-001_ses03-to-ses02 seed=4 acc=0.7550 (ntr=160 nval=40 nte=200)
2026-06-09 18:24:07 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-002_ses01-to-ses02 seed=4 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 18:24:13 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-002_ses01-to-ses03 seed=4 acc=0.4800 (ntr=160 nval=40 nte=200)
2026-06-09 18:24:18 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-002_ses02-to-ses01 seed=4 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 18:24:23 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-002_ses02-to-ses03 seed=4 acc=0.5900 (ntr=160 nval=40 nte=200)
2026-06-09 18:24:30 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-002_ses03-to-ses01 seed=4 acc=0.5300 (ntr=160 nval=40 nte=200)
2026-06-09 18:24:37 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-002_ses03-to-ses02 seed=4 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 18:24:46 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-003_ses01-to-ses02 seed=4 acc=0.6550 (ntr=160 nval=40 nte=200)
2026-06-09 18:24:55 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-003_ses01-to-ses03 seed=4 acc=0.6650 (ntr=160 nval=40 nte=200)
2026-06-09 18:25:01 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-003_ses02-to-ses01 seed=4 acc=0.5600 (ntr=160 nval=40 nte=200)
