Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods riemannian_alignment --models eegnet --seeds 3 --protocols single,multi --tag-suffix riemannian_alignment_eegnet_s3
Node   : gpu01 | Start: Tue Jun  9 08:35:02 CST 2026
Tue Jun  9 08:35:03 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:01:00.0 Off |                  Off |
| 30%   42C    P0             50W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 08:35:06 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 08:35:06 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['riemannian_alignment'] | models=['eegnet'] | seeds=[3] | groups=['single', 'multi'] | tasks=335
2026-06-09 08:35:15 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-001_ses01-to-ses02 seed=3 acc=0.6550 (ntr=160 nval=40 nte=200)
2026-06-09 08:35:22 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-001_ses01-to-ses03 seed=3 acc=0.7450 (ntr=160 nval=40 nte=200)
2026-06-09 08:35:31 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-001_ses02-to-ses01 seed=3 acc=0.7050 (ntr=160 nval=40 nte=200)
2026-06-09 08:35:41 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-001_ses02-to-ses03 seed=3 acc=0.9200 (ntr=160 nval=40 nte=200)
2026-06-09 08:35:48 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-001_ses03-to-ses01 seed=3 acc=0.7600 (ntr=160 nval=40 nte=200)
2026-06-09 08:35:55 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-001_ses03-to-ses02 seed=3 acc=0.7850 (ntr=160 nval=40 nte=200)
2026-06-09 08:36:00 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-002_ses01-to-ses02 seed=3 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 08:36:05 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-002_ses01-to-ses03 seed=3 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 08:36:12 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-002_ses02-to-ses01 seed=3 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 08:36:19 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-002_ses02-to-ses03 seed=3 acc=0.5800 (ntr=160 nval=40 nte=200)
2026-06-09 08:36:25 | INFO    | train_session_alignment | [align] riemannian_alignment   eegnet      single_sub-002_ses03-to-ses01 seed=3 acc=0.5200 (ntr=160 nval=40 nte=200)
