========================================================
Project : /share/home/yuan/SYX/eeg-mi-online
Paths   : configs/paths.yaml
Config  : configs/preprocess.yaml
Node    : gpu02  |  Start: Thu Jun  4 22:26:58 CST 2026
========================================================
2026-06-04 22:26:59 | INFO    | preprocess_all | mode=eog_ecg_clean | 输出根: /share/workspace2/moto_imagination/WBCIC_SHU/processed/eog_ecg_clean
2026-06-04 22:26:59 | INFO    | preprocess_all | raw manifest /share/home/yuan/SYX/eeg-mi-online/manifests/shu_2c_raw_manifest.csv -> 选中 153/153 个 session 处理。
2026-06-04 22:27:33 | INFO    | preprocess_all | sub-001/ses-01 | shape=[200, 58, 1000] labels={0: 100, 1: 100} aux_used=True excluded=[1, 4, 10] match_mat=True multiset=True status=ok
2026-06-04 22:27:33 | INFO    | preprocess_all | [1/153] sub-001/ses-01 用时 34.3s（ok=1 failed=0）
2026-06-04 22:28:09 | INFO    | preprocess_all | sub-001/ses-02 | shape=[200, 58, 1000] labels={0: 100, 1: 100} aux_used=True excluded=[1] match_mat=False multiset=True status=ok
2026-06-04 22:28:09 | INFO    | preprocess_all | [2/153] sub-001/ses-02 用时 35.6s（ok=2 failed=0）
2026-06-04 22:28:46 | INFO    | preprocess_all | sub-001/ses-03 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[1, 2] match_mat=None multiset=None status=ok
2026-06-04 22:28:46 | INFO    | preprocess_all | [3/153] sub-001/ses-03 用时 37.5s（ok=3 failed=0）
2026-06-04 22:29:22 | INFO    | preprocess_all | sub-002/ses-01 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[] match_mat=True multiset=True status=ok
2026-06-04 22:29:22 | INFO    | preprocess_all | [4/153] sub-002/ses-01 用时 35.4s（ok=4 failed=0）
2026-06-04 22:29:58 | INFO    | preprocess_all | sub-002/ses-02 | shape=[200, 58, 1000] labels={0: 100, 1: 100} aux_used=True excluded=[] match_mat=True multiset=True status=ok
2026-06-04 22:29:58 | INFO    | preprocess_all | [5/153] sub-002/ses-02 用时 36.1s（ok=5 failed=0）
2026-06-04 22:30:27 | INFO    | preprocess_all | sub-002/ses-03 | shape=[200, 58, 1000] labels={0: 100, 1: 100} aux_used=True excluded=[] match_mat=True multiset=True status=ok
2026-06-04 22:30:27 | INFO    | preprocess_all | [6/153] sub-002/ses-03 用时 28.9s（ok=6 failed=0）
2026-06-04 22:31:06 | INFO    | preprocess_all | sub-003/ses-01 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[1] match_mat=True multiset=True status=ok
2026-06-04 22:31:06 | INFO    | preprocess_all | [7/153] sub-003/ses-01 用时 38.7s（ok=7 failed=0）
2026-06-04 22:31:41 | INFO    | preprocess_all | sub-003/ses-02 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[0, 1, 3, 9, 12, 15, 16] match_mat=True multiset=True status=ok
2026-06-04 22:31:41 | INFO    | preprocess_all | [8/153] sub-003/ses-02 用时 34.9s（ok=8 failed=0）
2026-06-04 22:32:07 | INFO    | preprocess_all | sub-003/ses-03 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[3] match_mat=True multiset=True status=ok
2026-06-04 22:32:07 | INFO    | preprocess_all | [9/153] sub-003/ses-03 用时 26.6s（ok=9 failed=0）
2026-06-04 22:33:25 | INFO    | preprocess_all | sub-004/ses-01 | shape=[200, 58, 1000] labels={0: 100, 1: 100} aux_used=True excluded=[0, 7] match_mat=False multiset=True status=ok
2026-06-04 22:33:25 | INFO    | preprocess_all | [10/153] sub-004/ses-01 用时 78.3s（ok=10 failed=0）
2026-06-04 22:34:46 | INFO    | preprocess_all | sub-004/ses-02 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[5, 6, 14] match_mat=True multiset=True status=ok
2026-06-04 22:34:46 | INFO    | preprocess_all | [11/153] sub-004/ses-02 用时 80.5s（ok=11 failed=0）
2026-06-04 22:36:10 | INFO    | preprocess_all | sub-004/ses-03 | shape=[200, 58, 1000] labels={0: 100, 1: 100} aux_used=True excluded=[0, 3] match_mat=False multiset=True status=ok
2026-06-04 22:36:10 | INFO    | preprocess_all | [12/153] sub-004/ses-03 用时 83.6s（ok=12 failed=0）
2026-06-04 22:37:27 | INFO    | preprocess_all | sub-005/ses-01 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[] match_mat=True multiset=True status=ok
2026-06-04 22:37:27 | INFO    | preprocess_all | [13/153] sub-005/ses-01 用时 77.8s（ok=13 failed=0）
2026-06-04 22:38:47 | INFO    | preprocess_all | sub-005/ses-02 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[4] match_mat=True multiset=True status=ok
2026-06-04 22:38:47 | INFO    | preprocess_all | [14/153] sub-005/ses-02 用时 79.6s（ok=14 failed=0）
2026-06-04 22:40:10 | INFO    | preprocess_all | sub-005/ses-03 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[1, 2, 11, 13] match_mat=True multiset=True status=ok
2026-06-04 22:40:10 | INFO    | preprocess_all | [15/153] sub-005/ses-03 用时 83.0s（ok=15 failed=0）
2026-06-04 22:41:28 | INFO    | preprocess_all | sub-006/ses-01 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[0, 5] match_mat=False multiset=True status=ok
2026-06-04 22:41:28 | INFO    | preprocess_all | [16/153] sub-006/ses-01 用时 78.2s（ok=16 failed=0）
2026-06-04 22:42:45 | INFO    | preprocess_all | sub-006/ses-02 | shape=[200, 58, 1000] labels={0: 100, 1: 100} aux_used=True excluded=[] match_mat=False multiset=True status=ok
2026-06-04 22:42:45 | INFO    | preprocess_all | [17/153] sub-006/ses-02 用时 77.2s（ok=17 failed=0）
2026-06-04 22:43:59 | INFO    | preprocess_all | sub-006/ses-03 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[5] match_mat=True multiset=True status=ok
2026-06-04 22:43:59 | INFO    | preprocess_all | [18/153] sub-006/ses-03 用时 73.9s（ok=18 failed=0）
2026-06-04 22:45:13 | INFO    | preprocess_all | sub-007/ses-01 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[2, 5] match_mat=False multiset=True status=ok
2026-06-04 22:45:13 | INFO    | preprocess_all | [19/153] sub-007/ses-01 用时 74.0s（ok=19 failed=0）
2026-06-04 22:46:31 | INFO    | preprocess_all | sub-007/ses-02 | shape=[200, 58, 1000] labels={0: 100, 1: 100} aux_used=True excluded=[] match_mat=False multiset=True status=ok
2026-06-04 22:46:31 | INFO    | preprocess_all | [20/153] sub-007/ses-02 用时 77.3s（ok=20 failed=0）
2026-06-04 22:47:43 | INFO    | preprocess_all | sub-007/ses-03 | shape=[200, 58, 1000] labels={0: 100, 1: 100} aux_used=True excluded=[0, 3] match_mat=False multiset=True status=ok
2026-06-04 22:47:43 | INFO    | preprocess_all | [21/153] sub-007/ses-03 用时 72.0s（ok=21 failed=0）
2026-06-04 22:49:01 | INFO    | preprocess_all | sub-008/ses-01 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[2, 8, 11] match_mat=True multiset=True status=ok
2026-06-04 22:49:01 | INFO    | preprocess_all | [22/153] sub-008/ses-01 用时 78.7s（ok=22 failed=0）
2026-06-04 22:50:18 | INFO    | preprocess_all | sub-008/ses-02 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[1, 4, 5] match_mat=False multiset=True status=ok
2026-06-04 22:50:18 | INFO    | preprocess_all | [23/153] sub-008/ses-02 用时 76.6s（ok=23 failed=0）
2026-06-04 22:51:35 | INFO    | preprocess_all | sub-008/ses-03 | shape=[200, 58, 1000] labels={0: 100, 1: 100} aux_used=True excluded=[] match_mat=False multiset=True status=ok
2026-06-04 22:51:35 | INFO    | preprocess_all | [24/153] sub-008/ses-03 用时 77.2s（ok=24 failed=0）
2026-06-04 22:53:00 | INFO    | preprocess_all | sub-009/ses-01 | shape=[200, 58, 1000] labels={1: 100, 0: 100} aux_used=True excluded=[] match_mat=True multiset=True status=ok
2026-06-04 22:53:00 | INFO    | preprocess_all | [25/153] sub-009/ses-01 用时 85.2s（ok=25 failed=0）
