subject_id,session_id,data_bdf_path,evt_bdf_path,data_bdf_exists,evt_bdf_exists,data_bdf_size_bytes
sub-001,ses-01,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-001/ses-01/eeg/data.bdf,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-001/ses-01/eeg/evt.bdf,True,True,432016640
sub-001,ses-02,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-001/ses-02/eeg/data.bdf,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-001/ses-02/eeg/evt.bdf,True,True,422992640
sub-001,ses-03,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-001/ses-03/eeg/data.bdf,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-001/ses-03/eeg/evt.bdf,True,True,422800640
sub-002,ses-01,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-002/ses-01/eeg/data.bdf,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-002/ses-01/eeg/evt.bdf,True,True,440080640
sub-002,ses-02,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-002/ses-02/eeg/data.bdf,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-002/ses-02/eeg/evt.bdf,True,True,446800640
sub-002,ses-03,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-002/ses-03/eeg/data.bdf,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-002/ses-03/eeg/evt.bdf,True,True,429904640
sub-003,ses-01,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-003/ses-01/eeg/data.bdf,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-003/ses-01/eeg/evt.bdf,True,True,445264640
sub-003,ses-02,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-003/ses-02/eeg/data.bdf,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-003/ses-02/eeg/evt.bdf,True,True,432208640
sub-003,ses-03,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-003/ses-03/eeg/data.bdf,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-003/ses-03/eeg/evt.bdf,True,True,430672640
sub-004,ses-01,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-004/ses-01/eeg/data.bdf,/share/workspace2/moto_imagination/WBCIC_SHU/sourcedata/2C dataset/sub-004/ses-01/eeg/evt.bdf,True,True,427216640
