subject,available_pairs,n_pairs,mean_mmd,max_mmd,mean_mu_ks,mean_csp_similarity,mean_erd_mu_corr,mean_erd_beta_corr,median_rms_ratio,mean_abs_fisher_shift,drift_score,drift_level
sub-020,"01-02,01-03,02-03",3,0.402335,0.523233,0.544569,0.359261,-0.085877,-0.074973,0.262641,0.003997,1.873967,high
sub-013,"01-02,01-03,02-03",3,0.335497,0.441226,0.456839,0.313802,0.156789,0.230989,1.025806,0.005461,1.321363,high
sub-029,"01-02,01-03,02-03",3,0.394911,0.489582,0.519081,0.409365,-0.169879,0.411270,4.721459,0.064739,1.303291,high
sub-031,"01-02,01-03,02-03",3,0.470948,0.612364,0.597615,0.371453,0.156401,0.632767,1.713188,0.009883,1.286454,high
sub-038,"01-02,01-03,02-03",3,0.202747,0.225076,0.407414,0.339898,0.098509,0.113705,0.993713,0.005327,0.994350,high
sub-014,"01-02,01-03,02-03",3,0.259359,0.366576,0.325690,0.322096,0.347867,0.284616,0.737541,0.002366,0.735637,high
sub-032,01-03,1,0.151073,0.151073,0.399655,0.368137,-0.074285,0.344078,1.207061,0.001970,0.709196,high
sub-030,"01-02,01-03,02-03",3,0.270068,0.297497,0.663649,0.391706,0.442808,0.553413,0.001469,0.030949,0.682424,high
sub-027,"01-02,01-03,02-03",3,0.333255,0.384162,0.288937,0.377106,0.383853,0.226022,0.425770,0.001414,0.668654,high
sub-015,"01-02,01-03,02-03",3,0.215162,0.248272,0.325431,0.316929,0.518758,0.283703,1.363903,0.022214,0.518046,high
sub-022,"01-02,01-03,02-03",3,0.265259,0.315151,0.177443,0.427258,0.239695,-0.023281,0.866151,0.000836,0.489955,high
sub-019,"01-02,01-03,02-03",3,0.163219,0.194889,0.404914,0.470755,0.114563,0.068199,1.190167,0.005856,0.440742,high
sub-025,"01-02,01-03,02-03",3,0.180508,0.202510,0.159511,0.425853,0.149260,-0.098160,1.254102,0.000677,0.409619,high
sub-045,"01-02,01-03,02-03",3,0.142534,0.159083,0.151580,0.345996,0.223731,0.125186,1.054611,0.000624,0.364502,high
sub-037,"01-02,01-03,02-03",3,0.197125,0.246078,0.288333,0.340148,0.247064,0.559155,0.739752,0.015891,0.328755,high
sub-042,"01-02,01-03,02-03",3,0.294091,0.357545,0.236753,0.451135,0.278880,0.345529,2.172720,0.005798,0.217059,high
sub-007,"01-02,01-03,02-03",3,0.412440,0.542692,0.329138,0.424388,0.670786,0.704198,0.580476,0.011101,0.110273,high
sub-036,"01-02,01-03,02-03",3,0.172576,0.213256,0.116753,0.307826,0.338525,0.565751,0.757027,0.033827,0.072243,moderate
sub-051,"01-02,01-03,02-03",3,0.267890,0.355512,0.109224,0.415353,0.225933,0.498496,0.149764,0.005084,0.026446,moderate
sub-004,"01-02,01-03,02-03",3,0.137049,0.183034,0.324454,0.480217,0.068769,0.369159,0.973262,0.014975,0.021872,moderate
sub-028,"01-02,01-03,02-03",3,0.338731,0.380517,0.232241,0.417029,0.414864,0.753628,1.376167,0.017239,-0.004359,moderate
sub-018,"01-02,01-03,02-03",3,0.328352,0.422744,0.191782,0.373206,0.635021,0.658892,0.476399,0.002203,-0.020414,moderate
sub-006,"01-02,01-03,02-03",3,0.400298,0.481016,0.133764,0.451381,0.477123,0.612341,0.869882,0.016453,-0.063075,moderate
sub-021,"01-02,01-03,02-03",3,0.217263,0.270093,0.282615,0.407413,0.612914,0.427975,1.297983,0.002882,-0.065789,moderate
sub-026,02-03,1,0.212603,0.212603,0.197155,0.455572,-0.025181,0.708804,1.041170,0.008138,-0.097636,moderate
sub-003,"01-02,01-03,02-03",3,0.369605,0.506533,0.326897,0.424442,0.845684,0.827778,1.043152,0.004433,-0.231727,moderate
sub-002,"01-02,01-03,02-03",3,0.160125,0.218469,0.263333,0.442137,0.407600,0.494166,0.739435,0.002444,-0.242976,moderate
sub-023,02-03,1,0.138043,0.138043,0.032414,0.349247,0.484089,0.401064,0.744880,0.012655,-0.259521,moderate
sub-033,"01-02,01-03,02-03",3,0.174734,0.190788,0.131322,0.430572,0.407012,0.401445,0.935336,0.027539,-0.276196,moderate
sub-008,"01-02,01-03,02-03",3,0.133031,0.144553,0.290144,0.428621,0.285065,0.691342,1.236586,0.006875,-0.281448,moderate
sub-034,"01-02,01-03,02-03",3,0.253681,0.291215,0.105488,0.468582,0.518988,0.304662,1.324619,0.006174,-0.282479,moderate
sub-012,"01-02,01-03,02-03",3,0.145916,0.164183,0.156379,0.476117,0.331614,0.253255,0.803490,0.002695,-0.293627,moderate
sub-010,"01-02,01-03,02-03",3,0.242056,0.320322,0.285747,0.471411,0.604015,0.512784,0.853927,0.002402,-0.304098,moderate
sub-009,"01-02,01-03,02-03",3,0.227144,0.269426,0.187127,0.429975,0.504687,0.609201,0.915488,0.011863,-0.323885,stable
sub-017,"01-02,01-03,02-03",3,0.304901,0.389525,0.081207,0.441651,0.446410,0.666864,0.232461,0.001448,-0.339527,stable
sub-011,"01-02,01-03,02-03",3,0.307787,0.424779,0.149741,0.454034,0.620342,0.586896,1.163985,0.011985,-0.355012,stable
sub-048,"01-02,01-03,02-03",3,0.163202,0.184714,0.239598,0.444928,0.610006,0.424886,1.043646,0.017858,-0.383987,stable
sub-041,"01-02,01-03,02-03",3,0.191385,0.228118,0.353535,0.506792,0.200237,0.860091,1.287483,0.003037,-0.419043,stable
sub-001,"01-02,01-03,02-03",3,0.189713,0.219964,0.186034,0.474083,0.467966,0.487005,0.926918,0.011647,-0.444671,stable
sub-046,"01-02,01-03,02-03",3,0.150643,0.166960,0.323477,0.464358,0.303306,0.889603,1.002136,0.006753,-0.503786,stable
sub-047,"01-02,01-03,02-03",3,0.184273,0.204019,0.154856,0.376250,0.714587,0.716343,1.179948,0.007812,-0.523620,stable
sub-049,"01-02,01-03,02-03",3,0.275446,0.303437,0.126063,0.447376,0.668700,0.665415,0.943548,0.023560,-0.540644,stable
sub-035,"01-02,01-03,02-03",3,0.140928,0.142954,0.046207,0.365182,0.716072,0.485717,1.053124,0.001594,-0.546671,stable
sub-040,"01-02,01-03,02-03",3,0.159819,0.182244,0.114655,0.483146,0.466482,0.509630,1.093675,0.007745,-0.664534,stable
sub-043,"01-02,01-03,02-03",3,0.133488,0.139831,0.080604,0.427352,0.740786,0.410906,1.060976,0.018255,-0.703556,stable
sub-044,"01-02,01-03,02-03",3,0.174469,0.204846,0.198075,0.521229,0.583349,0.467601,0.865347,0.006547,-0.712975,stable
sub-050,"01-02,01-03,02-03",3,0.201582,0.239774,0.083620,0.397095,0.812390,0.727774,0.615520,0.028047,-0.748831,stable
sub-016,"01-02,01-03,02-03",3,0.183094,0.229991,0.131466,0.484832,0.592336,0.759875,0.866578,0.015504,-0.899544,stable
sub-039,"01-02,01-03,02-03",3,0.249149,0.272407,0.154224,0.491869,0.817441,0.802505,0.953935,0.011428,-0.956734,stable
sub-005,"01-02,01-03,02-03",3,0.142628,0.153216,0.172903,0.463638,0.793026,0.844485,0.856707,0.006768,-1.084483,stable
