method,model,training_scope,n_rows,n_ok,n_nan
bn_statistics_adaptation,deepconvnet,multi_source,235,235,0
bn_statistics_adaptation,deepconvnet,single_source,1440,1440,0
bn_statistics_adaptation,eegnet,multi_source,235,235,0
bn_statistics_adaptation,eegnet,single_source,1440,1440,0
bn_statistics_adaptation,fbcnet,multi_source,235,235,0
bn_statistics_adaptation,fbcnet,single_source,1440,1440,0
euclidean_alignment,deepconvnet,multi_source,235,235,0
euclidean_alignment,deepconvnet,single_source,1440,1440,0
euclidean_alignment,eegnet,multi_source,235,235,0
euclidean_alignment,eegnet,single_source,1440,1440,0
euclidean_alignment,fbcnet,multi_source,235,235,0
euclidean_alignment,fbcnet,single_source,1440,1440,0
filterbank_reweighting,deepconvnet,multi_source,235,235,0
filterbank_reweighting,deepconvnet,single_source,1440,1440,0
filterbank_reweighting,eegnet,multi_source,235,235,0
filterbank_reweighting,eegnet,single_source,1440,1440,0
filterbank_reweighting,fbcnet,multi_source,235,235,0
filterbank_reweighting,fbcnet,single_source,1440,1440,0
none_reference,deepconvnet,multi_source,235,235,0
none_reference,deepconvnet,single_source,1440,1440,0
none_reference,eegnet,multi_source,235,235,0
none_reference,eegnet,single_source,1440,1440,0
none_reference,fbcnet,multi_source,235,235,0
none_reference,fbcnet,single_source,1440,1440,0
riemannian_alignment,deepconvnet,multi_source,235,235,0
riemannian_alignment,deepconvnet,single_source,1440,1440,0
riemannian_alignment,eegnet,multi_source,235,235,0
riemannian_alignment,eegnet,single_source,1440,1440,0
riemannian_alignment,fbcnet,multi_source,235,235,0
riemannian_alignment,fbcnet,single_source,1440,1440,0
session_zscore,deepconvnet,multi_source,235,235,0
session_zscore,deepconvnet,single_source,1440,1440,0
session_zscore,eegnet,multi_source,235,235,0
session_zscore,eegnet,single_source,1440,1440,0
session_zscore,fbcnet,multi_source,235,235,0
session_zscore,fbcnet,single_source,1440,1440,0
