model,train_session,test_session,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,auc_mean,auc_std,nll_mean,nll_std,brier_mean,brier_std,ece_mean,ece_std
deepconvnet,ses-01,ses-02,5,0.678617,0.004930,0.678617,0.004930,0.662239,0.006722,0.744321,0.008472,0.845674,0.057559,0.436544,0.007724,0.147199,0.004604
deepconvnet,ses-01,ses-03,5,0.675708,0.003695,0.675708,0.003695,0.656119,0.006570,0.740237,0.004872,0.826739,0.019663,0.442708,0.005504,0.147741,0.005260
deepconvnet,ses-02,ses-01,5,0.678255,0.007740,0.678255,0.007740,0.668461,0.009191,0.733084,0.006091,0.876774,0.033654,0.454032,0.008008,0.166853,0.005707
deepconvnet,ses-02,ses-03,5,0.721082,0.008828,0.721082,0.008828,0.710792,0.011387,0.780288,0.008594,0.701045,0.009946,0.389933,0.007686,0.135460,0.003842
deepconvnet,ses-03,ses-01,5,0.651646,0.004867,0.651646,0.004867,0.634168,0.006221,0.706335,0.004481,1.088108,0.049608,0.502018,0.008928,0.191548,0.006164
deepconvnet,ses-03,ses-02,5,0.680388,0.006261,0.680388,0.006261,0.665481,0.009096,0.740597,0.005718,0.907208,0.053872,0.458786,0.010376,0.170571,0.008923
eegnet,ses-01,ses-02,5,0.713936,0.012921,0.713936,0.012921,0.707129,0.014832,0.767702,0.015624,0.832198,0.083712,0.399927,0.013422,0.132628,0.006628
eegnet,ses-01,ses-03,5,0.699125,0.009404,0.699125,0.009404,0.690243,0.009399,0.751745,0.009706,0.785637,0.029215,0.414203,0.009786,0.139562,0.005932
eegnet,ses-02,ses-01,5,0.707170,0.008415,0.707170,0.008415,0.705283,0.008042,0.752516,0.009714,0.833198,0.059087,0.409154,0.015503,0.139059,0.011469
eegnet,ses-02,ses-03,5,0.749224,0.008126,0.749224,0.008126,0.745867,0.007912,0.801278,0.008238,0.634375,0.050070,0.346948,0.012367,0.111414,0.006562
eegnet,ses-03,ses-01,5,0.680750,0.008383,0.680750,0.008383,0.674230,0.009800,0.724987,0.008138,0.970207,0.030218,0.453863,0.008666,0.162212,0.004752
eegnet,ses-03,ses-02,5,0.712204,0.005253,0.712204,0.005253,0.705577,0.005903,0.764381,0.005161,0.876952,0.054442,0.407508,0.010227,0.140027,0.004955
fbcnet,ses-01,ses-02,5,0.616872,0.004306,0.616872,0.004306,0.576179,0.008622,0.675146,0.008448,0.946337,0.055012,0.529485,0.009649,0.192750,0.009146
fbcnet,ses-01,ses-03,5,0.614167,0.006022,0.614167,0.006022,0.569285,0.008764,0.675061,0.004961,0.911987,0.014315,0.530873,0.007687,0.195832,0.007885
fbcnet,ses-02,ses-01,5,0.631809,0.003278,0.631809,0.003278,0.599494,0.004174,0.692571,0.004108,0.870175,0.051486,0.507399,0.005903,0.182834,0.003592
fbcnet,ses-02,ses-03,5,0.648367,0.005021,0.648367,0.005021,0.621273,0.007522,0.707662,0.005137,0.795092,0.015822,0.480776,0.004861,0.169166,0.003215
fbcnet,ses-03,ses-01,5,0.617229,0.004561,0.617229,0.004561,0.584133,0.008786,0.680056,0.003281,0.961041,0.084171,0.533923,0.013149,0.195891,0.012058
fbcnet,ses-03,ses-02,5,0.638714,0.005473,0.638714,0.005473,0.609577,0.009264,0.707677,0.005034,0.835063,0.050376,0.499791,0.011820,0.180595,0.007104
