model,seed,accuracy,balanced_accuracy,macro_f1,auc,nll,brier,ece
deepconvnet,0,0.676719,0.676719,0.659211,0.736397,0.869901,0.452949,0.163213
deepconvnet,1,0.681042,0.681042,0.667832,0.739955,0.896997,0.447827,0.159378
deepconvnet,2,0.682639,0.682639,0.668127,0.741969,0.848848,0.442771,0.156941
deepconvnet,3,0.683767,0.683767,0.668624,0.742882,0.879041,0.447372,0.162844
deepconvnet,4,0.681354,0.681354,0.668047,0.743604,0.874521,0.445038,0.156960
eegnet,0,0.717986,0.717986,0.711502,0.770022,0.781256,0.393956,0.132179
eegnet,1,0.721927,0.721927,0.717497,0.771350,0.811535,0.391196,0.134611
eegnet,2,0.702118,0.702118,0.694625,0.751664,0.830020,0.413785,0.139026
eegnet,3,0.703160,0.703160,0.698338,0.754836,0.837665,0.418279,0.141820
eegnet,4,0.707517,0.707517,0.702322,0.755092,0.847323,0.408171,0.139430
fbcnet,0,0.623420,0.623420,0.585384,0.683273,0.885037,0.520536,0.190071
fbcnet,1,0.631406,0.631406,0.597041,0.691491,0.873580,0.510604,0.186287
fbcnet,2,0.630191,0.630191,0.597551,0.692235,0.918091,0.512971,0.185060
fbcnet,3,0.627205,0.627205,0.594142,0.688963,0.882575,0.514090,0.186044
fbcnet,4,0.627743,0.627743,0.593459,0.693341,0.870560,0.509360,0.182980
