model,protocol,subject,session,train_session,test_session,seed,fold,n_train,n_val,n_test,best_epoch,accuracy,balanced_accuracy,macro_f1,auc,nll,brier,ece
deepconvnet,cross_session,sub-001,,ses-01,ses-02,0,,160,40,200,1,0.510000,0.510000,0.441595,0.458200,0.720996,0.526074,0.121035
deepconvnet,cross_session,sub-001,,ses-01,ses-03,0,,160,40,200,1,0.505000,0.505000,0.442426,0.530400,0.695276,0.501305,0.080331
deepconvnet,cross_session,sub-001,,ses-02,ses-01,0,,160,40,200,22,0.625000,0.625000,0.620820,0.646150,1.656082,0.633392,0.285797
deepconvnet,cross_session,sub-001,,ses-02,ses-03,0,,160,40,200,22,0.850000,0.850000,0.849940,0.943700,0.340340,0.202258,0.068845
deepconvnet,cross_session,sub-001,,ses-03,ses-01,0,,160,40,200,43,0.665000,0.665000,0.664320,0.726500,1.380854,0.563898,0.270011
deepconvnet,cross_session,sub-001,,ses-03,ses-02,0,,160,40,200,43,0.905000,0.905000,0.904998,0.970300,0.263020,0.132268,0.065299
deepconvnet,cross_session,sub-002,,ses-01,ses-02,0,,160,40,200,13,0.600000,0.600000,0.597424,0.613100,0.763239,0.524156,0.136212
deepconvnet,cross_session,sub-002,,ses-01,ses-03,0,,160,40,200,13,0.600000,0.600000,0.595101,0.661500,0.696507,0.484686,0.102958
deepconvnet,cross_session,sub-002,,ses-02,ses-01,0,,160,40,200,2,0.495000,0.495000,0.477104,0.496800,0.761724,0.555620,0.154297
deepconvnet,cross_session,sub-002,,ses-02,ses-03,0,,160,40,200,2,0.590000,0.590000,0.572917,0.620700,0.685315,0.489784,0.067708
deepconvnet,cross_session,sub-002,,ses-03,ses-01,0,,160,40,200,8,0.630000,0.630000,0.629073,0.695200,0.748330,0.488335,0.156088
deepconvnet,cross_session,sub-002,,ses-03,ses-02,0,,160,40,200,8,0.620000,0.620000,0.618129,0.675000,0.857174,0.506700,0.145495
deepconvnet,cross_session,sub-003,,ses-01,ses-02,0,,160,40,200,44,0.775000,0.775000,0.770823,0.867000,0.726191,0.362252,0.146659
deepconvnet,cross_session,sub-003,,ses-01,ses-03,0,,160,40,200,44,0.805000,0.805000,0.804173,0.859300,0.952169,0.322583,0.119663
deepconvnet,cross_session,sub-003,,ses-02,ses-01,0,,160,40,200,47,0.775000,0.775000,0.774317,0.850200,1.195661,0.393067,0.189585
deepconvnet,cross_session,sub-003,,ses-02,ses-03,0,,160,40,200,47,0.790000,0.790000,0.788647,0.870250,1.321306,0.376942,0.194992
deepconvnet,cross_session,sub-003,,ses-03,ses-01,0,,160,40,200,1,0.520000,0.520000,0.514121,0.510100,0.741364,0.541265,0.124221
deepconvnet,cross_session,sub-003,,ses-03,ses-02,0,,160,40,200,1,0.510000,0.510000,0.432279,0.525900,0.710127,0.514282,0.093895
deepconvnet,cross_session,sub-004,,ses-01,ses-02,0,,160,40,200,19,0.495000,0.495000,0.490401,0.507700,0.887393,0.602587,0.196422
deepconvnet,cross_session,sub-004,,ses-01,ses-03,0,,160,40,200,19,0.540000,0.540000,0.539586,0.556800,0.822711,0.574079,0.166237
deepconvnet,cross_session,sub-004,,ses-02,ses-01,0,,160,40,200,3,0.495000,0.495000,0.494381,0.514200,0.766995,0.558575,0.155945
deepconvnet,cross_session,sub-004,,ses-02,ses-03,0,,160,40,200,3,0.485000,0.485000,0.480310,0.486900,0.847525,0.610061,0.226841
deepconvnet,cross_session,sub-004,,ses-03,ses-01,0,,160,40,200,4,0.485000,0.485000,0.479259,0.469600,0.799385,0.587215,0.182116
deepconvnet,cross_session,sub-004,,ses-03,ses-02,0,,160,40,200,4,0.505000,0.505000,0.485434,0.448100,0.819272,0.592137,0.174574
deepconvnet,cross_session,sub-005,,ses-01,ses-02,0,,160,40,200,100,0.840000,0.840000,0.839856,0.915100,0.667280,0.272072,0.124801
deepconvnet,cross_session,sub-005,,ses-01,ses-03,0,,160,40,200,100,0.630000,0.630000,0.621483,0.678200,1.591480,0.611953,0.276369
deepconvnet,cross_session,sub-005,,ses-02,ses-01,0,,160,40,200,15,0.740000,0.740000,0.739896,0.809600,0.606223,0.376975,0.118310
deepconvnet,cross_session,sub-005,,ses-02,ses-03,0,,160,40,200,15,0.505000,0.505000,0.504889,0.509800,0.896260,0.625379,0.211157
deepconvnet,cross_session,sub-005,,ses-03,ses-01,0,,160,40,200,33,0.775000,0.775000,0.774994,0.856400,0.563545,0.306055,0.076120
deepconvnet,cross_session,sub-005,,ses-03,ses-02,0,,160,40,200,33,0.750000,0.750000,0.749775,0.820300,0.584372,0.347263,0.097122
deepconvnet,cross_session,sub-006,,ses-01,ses-02,0,,160,40,200,43,0.890000,0.890000,0.889989,0.946100,0.327419,0.175404,0.062787
deepconvnet,cross_session,sub-006,,ses-01,ses-03,0,,160,40,200,43,0.950000,0.950000,0.949995,0.980900,0.184231,0.076794,0.028093
deepconvnet,cross_session,sub-006,,ses-02,ses-01,0,,160,40,200,34,0.785000,0.785000,0.779707,0.846300,1.567113,0.386393,0.179578
deepconvnet,cross_session,sub-006,,ses-02,ses-03,0,,160,40,200,34,0.850000,0.850000,0.848163,0.901700,1.072265,0.285057,0.144355
deepconvnet,cross_session,sub-006,,ses-03,ses-01,0,,160,40,200,31,0.510000,0.510000,0.450118,0.537400,4.177342,0.906942,0.455176
deepconvnet,cross_session,sub-006,,ses-03,ses-02,0,,160,40,200,31,0.650000,0.650000,0.615385,0.826500,1.684665,0.621518,0.300040
deepconvnet,cross_session,sub-007,,ses-01,ses-02,0,,160,40,200,34,0.775000,0.775000,0.774045,0.859000,0.505085,0.314831,0.079346
deepconvnet,cross_session,sub-007,,ses-01,ses-03,0,,160,40,200,34,0.850000,0.850000,0.849624,0.884900,0.478424,0.256235,0.095640
deepconvnet,cross_session,sub-007,,ses-02,ses-01,0,,160,40,200,3,0.630000,0.630000,0.630000,0.685000,0.769249,0.503318,0.155661
deepconvnet,cross_session,sub-007,,ses-02,ses-03,0,,160,40,200,3,0.885000,0.885000,0.884651,0.926000,0.364395,0.197556,0.083638
deepconvnet,cross_session,sub-007,,ses-03,ses-01,0,,160,40,200,4,0.625000,0.625000,0.580713,0.710200,1.135790,0.608852,0.272126
deepconvnet,cross_session,sub-007,,ses-03,ses-02,0,,160,40,200,4,0.610000,0.610000,0.559023,0.800200,0.991959,0.578700,0.271627
deepconvnet,cross_session,sub-008,,ses-01,ses-02,0,,160,40,200,6,0.600000,0.600000,0.599840,0.613100,0.709106,0.501056,0.069680
deepconvnet,cross_session,sub-008,,ses-01,ses-03,0,,160,40,200,6,0.580000,0.580000,0.577932,0.616100,0.698773,0.491925,0.109663
deepconvnet,cross_session,sub-008,,ses-02,ses-01,0,,160,40,200,21,0.645000,0.645000,0.644280,0.703600,0.993461,0.497827,0.196755
deepconvnet,cross_session,sub-008,,ses-02,ses-03,0,,160,40,200,21,0.810000,0.810000,0.809524,0.901600,0.681143,0.298085,0.137513
deepconvnet,cross_session,sub-008,,ses-03,ses-01,0,,160,40,200,4,0.535000,0.535000,0.496957,0.536100,0.846925,0.596033,0.179260
deepconvnet,cross_session,sub-008,,ses-03,ses-02,0,,160,40,200,4,0.520000,0.520000,0.465241,0.527300,0.825220,0.591268,0.192344
deepconvnet,cross_session,sub-009,,ses-01,ses-02,0,,160,40,200,13,0.745000,0.745000,0.744483,0.801300,0.616540,0.379066,0.090049
deepconvnet,cross_session,sub-009,,ses-01,ses-03,0,,160,40,200,13,0.580000,0.580000,0.579327,0.597500,0.937177,0.582713,0.200528
deepconvnet,cross_session,sub-009,,ses-02,ses-01,0,,160,40,200,2,0.625000,0.625000,0.603080,0.745700,0.634946,0.442086,0.053081
deepconvnet,cross_session,sub-009,,ses-02,ses-03,0,,160,40,200,2,0.550000,0.550000,0.495006,0.636600,0.715291,0.508073,0.100461
deepconvnet,cross_session,sub-009,,ses-03,ses-01,0,,160,40,200,7,0.635000,0.635000,0.632935,0.676300,0.781668,0.503455,0.149481
deepconvnet,cross_session,sub-009,,ses-03,ses-02,0,,160,40,200,7,0.610000,0.610000,0.598394,0.672800,0.785493,0.529203,0.187086
deepconvnet,cross_session,sub-010,,ses-01,ses-02,0,,160,40,200,4,0.560000,0.560000,0.471090,0.832600,0.796436,0.554746,0.262077
deepconvnet,cross_session,sub-010,,ses-01,ses-03,0,,160,40,200,4,0.495000,0.495000,0.331104,0.603900,1.099397,0.740817,0.360995
deepconvnet,cross_session,sub-010,,ses-02,ses-01,0,,160,40,200,20,0.730000,0.730000,0.729892,0.799000,0.901087,0.422465,0.174907
deepconvnet,cross_session,sub-010,,ses-02,ses-03,0,,160,40,200,20,0.500000,0.500000,0.466667,0.519200,1.103776,0.702370,0.299425
deepconvnet,cross_session,sub-010,,ses-03,ses-01,0,,160,40,200,7,0.510000,0.510000,0.509559,0.512900,0.821881,0.589212,0.179306
deepconvnet,cross_session,sub-010,,ses-03,ses-02,0,,160,40,200,7,0.505000,0.505000,0.504690,0.503000,0.903549,0.631589,0.210938
deepconvnet,cross_session,sub-011,,ses-01,ses-02,0,,160,40,200,1,0.630000,0.630000,0.629852,0.626300,1.094489,0.550351,0.170421
deepconvnet,cross_session,sub-011,,ses-01,ses-03,0,,160,40,200,1,0.875000,0.875000,0.874090,0.971500,0.322170,0.183286,0.063019
deepconvnet,cross_session,sub-011,,ses-02,ses-01,0,,160,40,200,31,0.870000,0.870000,0.869948,0.944100,0.379706,0.195480,0.083363
deepconvnet,cross_session,sub-011,,ses-02,ses-03,0,,160,40,200,31,0.830000,0.830000,0.827918,0.917700,0.701520,0.286373,0.113664
deepconvnet,cross_session,sub-011,,ses-03,ses-01,0,,160,40,200,41,0.935000,0.935000,0.934985,0.959800,0.303799,0.125734,0.057559
deepconvnet,cross_session,sub-011,,ses-03,ses-02,0,,160,40,200,41,0.600000,0.600000,0.575552,0.680450,1.702144,0.676391,0.318056
deepconvnet,cross_session,sub-012,,ses-01,ses-02,0,,160,40,200,1,0.485000,0.485000,0.383953,0.525500,0.780471,0.572137,0.191450
deepconvnet,cross_session,sub-012,,ses-01,ses-03,0,,160,40,200,1,0.495000,0.495000,0.347861,0.544100,0.790165,0.581004,0.208373
deepconvnet,cross_session,sub-012,,ses-02,ses-01,0,,160,40,200,2,0.490000,0.490000,0.489183,0.465300,0.762723,0.560761,0.149183
deepconvnet,cross_session,sub-012,,ses-02,ses-03,0,,160,40,200,2,0.530000,0.530000,0.527686,0.530300,0.722160,0.523540,0.070217
deepconvnet,cross_session,sub-012,,ses-03,ses-01,0,,160,40,200,1,0.500000,0.500000,0.499800,0.519300,0.789119,0.576321,0.214271
deepconvnet,cross_session,sub-012,,ses-03,ses-02,0,,160,40,200,1,0.555000,0.555000,0.554454,0.533300,0.836303,0.593230,0.216709
deepconvnet,cross_session,sub-013,,ses-01,ses-02,0,,160,40,200,1,0.695000,0.695000,0.685364,0.748600,0.935633,0.442727,0.098249
deepconvnet,cross_session,sub-013,,ses-01,ses-03,0,,160,40,200,1,0.635000,0.635000,0.602732,0.739700,0.651450,0.456285,0.093121
