model,protocol,subject,session,train_session,test_session,seed,fold,n_train,n_val,n_test,best_epoch,accuracy,balanced_accuracy,macro_f1,auc,nll,brier,ece
deepconvnet,within_session,sub-001,ses-01,,,0,0.000000,144,36,20,14,0.750000,0.750000,0.749373,0.780000,0.575975,0.389927,0.208995
deepconvnet,within_session,sub-001,ses-01,,,0,1.000000,144,36,20,23,0.600000,0.600000,0.595960,0.700000,0.783262,0.503150,0.220976
deepconvnet,within_session,sub-001,ses-01,,,0,2.000000,144,36,20,20,0.600000,0.600000,0.583333,0.650000,0.978719,0.570249,0.240917
deepconvnet,within_session,sub-001,ses-01,,,0,3.000000,144,36,20,23,0.600000,0.600000,0.600000,0.610000,1.045273,0.646842,0.285427
deepconvnet,within_session,sub-001,ses-01,,,0,4.000000,144,36,20,33,0.650000,0.650000,0.649123,0.710000,0.990792,0.562278,0.215986
deepconvnet,within_session,sub-001,ses-01,,,0,5.000000,144,36,20,25,0.750000,0.750000,0.749373,0.750000,0.906601,0.467834,0.278243
deepconvnet,within_session,sub-001,ses-01,,,0,6.000000,144,36,20,15,0.650000,0.650000,0.641944,0.770000,0.619348,0.429260,0.256606
deepconvnet,within_session,sub-001,ses-01,,,0,7.000000,144,36,20,20,0.700000,0.700000,0.696970,0.690000,0.731355,0.451042,0.169426
deepconvnet,within_session,sub-001,ses-01,,,0,8.000000,144,36,20,19,0.550000,0.550000,0.539642,0.620000,0.812938,0.567559,0.344283
deepconvnet,within_session,sub-001,ses-01,,,0,9.000000,144,36,20,24,0.800000,0.800000,0.797980,0.860000,0.603088,0.307058,0.205218
deepconvnet,within_session,sub-001,ses-02,,,0,0.000000,144,36,20,35,1.000000,1.000000,1.000000,1.000000,0.023349,0.010058,0.020164
deepconvnet,within_session,sub-001,ses-02,,,0,1.000000,144,36,20,65,0.950000,0.950000,0.949875,1.000000,0.133360,0.086414,0.047191
deepconvnet,within_session,sub-001,ses-02,,,0,2.000000,144,36,20,54,0.900000,0.900000,0.898990,1.000000,0.197527,0.143125,0.081336
deepconvnet,within_session,sub-001,ses-02,,,0,3.000000,144,36,20,62,1.000000,1.000000,1.000000,1.000000,0.036663,0.023142,0.028015
deepconvnet,within_session,sub-001,ses-02,,,0,4.000000,144,36,20,44,0.950000,0.950000,0.949875,0.940000,0.333044,0.125151,0.098835
deepconvnet,within_session,sub-001,ses-02,,,0,5.000000,144,36,20,97,0.950000,0.950000,0.949875,1.000000,0.437795,0.105813,0.061764
deepconvnet,within_session,sub-001,ses-02,,,0,6.000000,144,36,20,82,1.000000,1.000000,1.000000,1.000000,0.015681,0.003113,0.014832
deepconvnet,within_session,sub-001,ses-02,,,0,7.000000,144,36,20,19,0.900000,0.900000,0.898990,0.950000,0.250451,0.142902,0.105000
deepconvnet,within_session,sub-001,ses-02,,,0,8.000000,144,36,20,20,0.850000,0.850000,0.849624,0.920000,0.517264,0.220750,0.130018
deepconvnet,within_session,sub-001,ses-02,,,0,9.000000,144,36,20,70,0.900000,0.900000,0.900000,0.990000,0.247970,0.124295,0.080055
deepconvnet,within_session,sub-001,ses-03,,,0,0.000000,144,36,20,26,0.900000,0.900000,0.898990,0.960000,0.304024,0.157720,0.136895
deepconvnet,within_session,sub-001,ses-03,,,0,1.000000,144,36,20,14,0.800000,0.800000,0.791667,0.940000,0.387400,0.233651,0.161448
deepconvnet,within_session,sub-001,ses-03,,,0,2.000000,144,36,20,20,0.650000,0.650000,0.601140,0.880000,0.790570,0.488850,0.309785
deepconvnet,within_session,sub-001,ses-03,,,0,3.000000,144,36,20,54,0.850000,0.850000,0.849624,0.970000,0.224691,0.153498,0.117067
deepconvnet,within_session,sub-001,ses-03,,,0,4.000000,144,36,20,53,0.950000,0.950000,0.949875,0.900000,0.660903,0.116009,0.067771
deepconvnet,within_session,sub-001,ses-03,,,0,5.000000,144,36,20,37,0.950000,0.950000,0.949875,0.980000,0.171719,0.104244,0.073863
deepconvnet,within_session,sub-001,ses-03,,,0,6.000000,144,36,20,44,0.900000,0.900000,0.898990,1.000000,0.243763,0.163308,0.093914
deepconvnet,within_session,sub-001,ses-03,,,0,7.000000,144,36,20,3,0.800000,0.800000,0.797980,0.890000,0.475061,0.308662,0.123671
deepconvnet,within_session,sub-001,ses-03,,,0,8.000000,144,36,20,46,0.950000,0.950000,0.949875,1.000000,0.108898,0.074092,0.065061
deepconvnet,within_session,sub-001,ses-03,,,0,9.000000,144,36,20,34,0.950000,0.950000,0.949875,1.000000,0.096144,0.065289,0.034646
deepconvnet,within_session,sub-002,ses-01,,,0,0.000000,144,36,20,6,0.650000,0.650000,0.626667,0.760000,0.674407,0.472563,0.214021
deepconvnet,within_session,sub-002,ses-01,,,0,1.000000,144,36,20,9,0.800000,0.800000,0.797980,0.820000,0.501198,0.335509,0.243308
deepconvnet,within_session,sub-002,ses-01,,,0,2.000000,144,36,20,2,0.650000,0.650000,0.641944,0.700000,0.657467,0.455317,0.152874
deepconvnet,within_session,sub-002,ses-01,,,0,3.000000,144,36,20,10,0.450000,0.450000,0.448622,0.500000,0.920673,0.653929,0.292385
deepconvnet,within_session,sub-002,ses-01,,,0,4.000000,144,36,20,5,0.700000,0.700000,0.670330,0.740000,0.675823,0.468248,0.259677
deepconvnet,within_session,sub-002,ses-01,,,0,5.000000,144,36,20,5,0.700000,0.700000,0.687500,0.830000,0.508030,0.344615,0.143426
deepconvnet,within_session,sub-002,ses-01,,,0,6.000000,144,36,20,2,0.500000,0.500000,0.479167,0.610000,0.722657,0.529955,0.253167
deepconvnet,within_session,sub-002,ses-01,,,0,7.000000,144,36,20,7,0.500000,0.500000,0.500000,0.540000,0.942122,0.649835,0.254004
deepconvnet,within_session,sub-002,ses-01,,,0,8.000000,144,36,20,1,0.400000,0.400000,0.375000,0.320000,0.853134,0.640168,0.331171
deepconvnet,within_session,sub-002,ses-01,,,0,9.000000,144,36,20,7,0.700000,0.700000,0.696970,0.660000,0.671740,0.469130,0.297197
deepconvnet,within_session,sub-002,ses-02,,,0,0.000000,144,36,20,2,0.550000,0.550000,0.435737,0.550000,0.749398,0.546872,0.158631
deepconvnet,within_session,sub-002,ses-02,,,0,1.000000,144,36,20,1,0.550000,0.550000,0.487179,0.570000,0.705299,0.513104,0.188082
deepconvnet,within_session,sub-002,ses-02,,,0,2.000000,144,36,20,4,0.450000,0.450000,0.413333,0.570000,0.693725,0.503778,0.170691
deepconvnet,within_session,sub-002,ses-02,,,0,3.000000,144,36,20,4,0.500000,0.500000,0.479167,0.490000,0.788168,0.576148,0.191261
deepconvnet,within_session,sub-002,ses-02,,,0,4.000000,144,36,20,5,0.400000,0.400000,0.393939,0.500000,0.972397,0.662752,0.375367
deepconvnet,within_session,sub-002,ses-02,,,0,5.000000,144,36,20,13,0.600000,0.600000,0.600000,0.560000,0.748133,0.527013,0.340158
deepconvnet,within_session,sub-002,ses-02,,,0,6.000000,144,36,20,1,0.600000,0.600000,0.583333,0.650000,0.663101,0.471290,0.139455
deepconvnet,within_session,sub-002,ses-02,,,0,7.000000,144,36,20,2,0.550000,0.550000,0.520000,0.690000,0.651825,0.461412,0.135831
deepconvnet,within_session,sub-002,ses-02,,,0,8.000000,144,36,20,7,0.550000,0.550000,0.520000,0.680000,0.657190,0.468919,0.159768
