model,seed,accuracy,balanced_accuracy,macro_f1,auc,nll,brier,ece
deepconvnet,0,0.767804,0.767804,0.760856,0.826662,0.522566,0.312169,0.170898
deepconvnet,1,0.763041,0.763041,0.754599,0.819892,0.528268,0.320531,0.174515
deepconvnet,2,0.766858,0.766858,0.759024,0.827459,0.511102,0.313014,0.168676
deepconvnet,3,0.767365,0.767365,0.759457,0.825787,0.521946,0.316465,0.170673
deepconvnet,4,0.766419,0.766419,0.758570,0.825149,0.520392,0.315094,0.169744
eegnet,0,0.807601,0.807601,0.803343,0.860784,0.426067,0.258401,0.143622
eegnet,1,0.807703,0.807703,0.804034,0.858274,0.427894,0.258464,0.143851
eegnet,2,0.809324,0.809324,0.805604,0.860936,0.423647,0.258229,0.140476
eegnet,3,0.802973,0.802973,0.798541,0.857152,0.423741,0.261067,0.143066
eegnet,4,0.805676,0.805676,0.801598,0.860223,0.426415,0.259653,0.141077
fbcnet,0,0.722838,0.722838,0.716398,0.774378,0.533375,0.356838,0.189506
fbcnet,1,0.722264,0.722264,0.715934,0.776895,0.529450,0.354076,0.186955
fbcnet,2,0.722399,0.722399,0.715745,0.773959,0.534925,0.357486,0.190481
fbcnet,3,0.714730,0.714730,0.708005,0.767382,0.537656,0.361619,0.190631
fbcnet,4,0.719291,0.719291,0.712730,0.769622,0.537323,0.361271,0.191893
