model,seed,acc,bacc,f1,auc,nll,brier,ece
deepconvnet,0,0.7428723404255319,0.7428723404255319,0.7308426746510819,0.808413829787234,0.6459447514820607,0.35713334753012366,0.1258611714269252
deepconvnet,1,0.7624468085106383,0.7624468085106383,0.7548039866238216,0.8215585106382979,0.5964950871594409,0.3387841323079284,0.11600452768041727
deepconvnet,2,0.759468085106383,0.759468085106383,0.7525295339261441,0.8219234042553192,0.5995767424873849,0.3316196941154779,0.1131075841378658
deepconvnet,3,0.7555319148936169,0.7555319148936169,0.744707402545211,0.8142170212765958,0.623322920437823,0.35007714980827503,0.1229267604617362
deepconvnet,4,0.7617021276595745,0.7617021276595745,0.7530232732393464,0.8213117021276596,0.6146233812608617,0.33704306741572165,0.11174930104549892
eegnet,0,0.7691489361702127,0.7691489361702127,0.7624243723775773,0.8269648936170213,0.5185093367670445,0.3099365284673353,0.09206220888711034
eegnet,1,0.7704255319148936,0.7704255319148936,0.7633606016233154,0.8296574468085107,0.5508761520873993,0.31234596117089247,0.10210496081950814
eegnet,2,0.768191489361702,0.768191489361702,0.7629321411006628,0.8186734042553191,0.5594325108414001,0.3222556053375369,0.10703791449678701
eegnet,3,0.773936170212766,0.773936170212766,0.7700557397851092,0.8218808510638298,0.575893576791946,0.32123390423425097,0.10526658503933152
eegnet,4,0.776595744680851,0.776595744680851,0.7725558376517132,0.8318946808510638,0.5564799648016057,0.3148920820212566,0.10376555228486971
fbcnet,0,0.6737234042553192,0.6737234042553192,0.6525989947750819,0.7412946808510639,0.7222341020056542,0.4352015334417249,0.14344339615487034
fbcnet,1,0.6726595744680851,0.6726595744680851,0.6412530426723758,0.7371702127659574,0.7398956563085952,0.44854671483729763,0.15694773932720749
fbcnet,2,0.6751063829787234,0.6751063829787234,0.6447859290652277,0.7373148936170212,0.765584019428872,0.4402416334839376,0.15133883287932007
fbcnet,3,0.676063829787234,0.676063829787234,0.649315750693127,0.7431372340425532,0.7756440058905394,0.44129398362544375,0.14988292074583942
fbcnet,4,0.6775531914893617,0.6775531914893617,0.6559154036368874,0.7369372340425532,0.6954154528360418,0.4354357398699946,0.14052222464946987
