model,subject,ms_acc,s01_acc,s02_acc,best_single,delta_vs_best,delta_vs_s02
deepconvnet,sub-001,0.933,0.634,0.915,0.915,0.018000000000000016,0.018000000000000016
deepconvnet,sub-002,0.652,0.612,0.652,0.652,0.0,0.0
deepconvnet,sub-003,0.9390000000000001,0.861,0.799,0.861,0.07800000000000007,0.14
deepconvnet,sub-004,0.479,0.507,0.479,0.507,-0.028000000000000025,0.0
deepconvnet,sub-005,0.674,0.609,0.505,0.609,0.06500000000000006,0.16900000000000004
deepconvnet,sub-006,0.942,0.916,0.858,0.916,0.025999999999999912,0.08399999999999996
deepconvnet,sub-007,0.885,0.779,0.8640000000000001,0.8640000000000001,0.020999999999999908,0.020999999999999908
deepconvnet,sub-008,0.796,0.5660000000000001,0.8019999999999999,0.8019999999999999,-0.005999999999999894,-0.005999999999999894
deepconvnet,sub-009,0.612,0.585,0.569,0.585,0.027000000000000024,0.04300000000000004
deepconvnet,sub-010,0.536,0.508,0.524,0.524,0.01200000000000001,0.01200000000000001
deepconvnet,sub-011,0.851,0.9039999999999999,0.8550000000000001,0.9039999999999999,-0.052999999999999936,-0.004000000000000115
deepconvnet,sub-012,0.518,0.5429999999999999,0.519,0.5429999999999999,-0.02499999999999991,-0.0010000000000000009
deepconvnet,sub-013,0.756,0.694,0.736,0.736,0.020000000000000018,0.020000000000000018
deepconvnet,sub-014,0.503,0.517,0.48200000000000004,0.517,-0.014000000000000012,0.020999999999999963
deepconvnet,sub-015,0.599,0.605,0.5810000000000001,0.605,-0.006000000000000005,0.017999999999999905
deepconvnet,sub-016,0.5349999999999999,0.504,0.55,0.55,-0.015000000000000124,-0.015000000000000124
deepconvnet,sub-017,0.731,0.693,0.647,0.693,0.038000000000000034,0.08399999999999996
deepconvnet,sub-018,0.6060000000000001,0.576,0.5509999999999999,0.576,0.030000000000000138,0.05500000000000016
deepconvnet,sub-019,0.8789999999999999,0.6,0.8379999999999999,0.8379999999999999,0.041000000000000036,0.041000000000000036
deepconvnet,sub-020,0.5740000000000001,0.621,0.5429999999999999,0.621,-0.04699999999999993,0.03100000000000014
