protocol,model,seed,subject,train_sessions,test_session,split_id,acc,bacc,f1,auc,nll,brier,ece,n_train,n_val,n_test,best_epoch,checkpoint_path,status,error_message
multisource_0102_to_03,deepconvnet,0,sub-001,ses-01+ses-02,ses-03,0,0.95,0.95,0.9499549594635172,0.9922,0.1426842659711837,0.0731540486112174,0.0474948590993881,320,80,200,51,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-001_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-002,ses-01+ses-02,ses-03,0,0.645,0.645,0.6445645916247403,0.7056,0.6329426765441895,0.4445747121582803,0.1017695069313049,320,80,200,10,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-002_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-003,ses-01+ses-02,ses-03,0,0.94,0.94,0.94,0.97975,0.3427088856697082,0.1015697194805294,0.0495212647318839,320,80,200,58,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-003_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-004,ses-01+ses-02,ses-03,0,0.495,0.495,0.45368492224476,0.5043,0.7516231536865234,0.5478507487949446,0.1458020091056824,320,80,200,2,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-004_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-005,ses-01+ses-02,ses-03,0,0.675,0.675,0.67499187479687,0.7793000000000001,1.0853420495986938,0.5105801957008015,0.2464967063069343,320,80,200,56,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-005_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-006,ses-01+ses-02,ses-03,0,0.945,0.945,0.944998624965624,0.9739,0.2663615942001343,0.0952568165237993,0.0440483042597771,320,80,200,21,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-006_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-007,ses-01+ses-02,ses-03,0,0.885,0.885,0.8848589522164652,0.9144,0.4018937945365906,0.1977344654901245,0.0922008827328682,320,80,200,11,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-007_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-008,ses-01+ses-02,ses-03,0,0.765,0.765,0.7645231593977806,0.8314999999999999,0.528327226638794,0.3410898612081703,0.080174337029457,320,80,200,6,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-008_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-009,ses-01+ses-02,ses-03,0,0.625,0.625,0.6247654784240151,0.653,0.9201524257659912,0.5365786372806555,0.1714316767454147,320,80,200,15,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-009_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-010,ses-01+ses-02,ses-03,0,0.53,0.53,0.5060949978982766,0.5648,0.7829791307449341,0.5527026753574938,0.1466431885957718,320,80,200,7,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-010_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-011,ses-01+ses-02,ses-03,0,0.77,0.77,0.7613860358958398,0.937,0.825093686580658,0.3697023737409664,0.1682835844159126,320,80,200,13,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-011_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-012,ses-01+ses-02,ses-03,0,0.49,0.49,0.483753416337686,0.5081,0.7812361121177673,0.5695940254872361,0.1671078124642372,320,80,200,13,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-012_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-013,ses-01+ses-02,ses-03,0,0.775,0.7749999999999999,0.7743173098623335,0.8426,0.5281758904457092,0.3306487002011552,0.0781414884328842,320,80,200,9,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-013_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-014,ses-01+ses-02,ses-03,0,0.495,0.495,0.4825687133379441,0.5232,0.7850439548492432,0.561943166723986,0.1540006476640701,320,80,200,12,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-014_ses01ses02-to-ses-03_seed0.pt,ok,
multisource_0102_to_03,deepconvnet,0,sub-015,ses-01+ses-02,ses-03,0,0.59,0.5900000000000001,0.5893429487179487,0.6052000000000001,1.315065860748291,0.6168236207474328,0.256922909617424,320,80,200,17,/share/home/yuan/SYX/eeg-mi-online/checkpoints/session_multisource_v1/deepconvnet/multisource_sub-015_ses01ses02-to-ses-03_seed0.pt,ok,
